客户名称;股票代码;报告期;金额(万元)
一汽-大众汽车有限公司;-;2014-06-30;337,426.35
一汽解放汽车有限公司;-;2014-06-30;113,032.97
一汽轿车股份有限公司;000800.SZ;2017-12-31;68,225.65
四川一汽丰田汽车有限公司;-;2014-06-30;8,642.48
富奥威泰克底盘部件(长春)有限公司;-;2014-06-30;3,691.26
