供应商名称;股票代码;报告期;金额(万元)
中国航空油料有限责任公司;-;2015-12-31;1,388,600.00
华南蓝天航空油料有限公司;-;2015-12-31;810,700.00
广州飞机维修工程有限公司;-;2015-12-31;173,300.00
深圳承远航空油料有限公司;-;2015-12-31;112,200.00
上海浦东国际机场航空油料有限责任公司;-;2015-12-31;106,800.00
深圳市机场股份有限公司;000089.SZ;2017-12-31;43,952.57
互动派科技股份有限公司;836928.OC;2017-12-31;1,932.08
北京科荣达航空科技股份有限公司;871210.OC;2017-12-31;1,658.79
云宏信息科技股份有限公司;832135.OC;2017-12-31;929.30
浙江汇购科技股份有限公司;835795.OC;2017-12-31;802.26
天津华翼蓝天科技股份有限公司;835512.OC;2017-12-31;687.89
湖北超卓航空科技股份有限公司;839971.OC;2017-12-31;409.99
杭州华蓝旭信息科技股份有限公司;834642.OC;2017-12-31;368.14
北京金至科技股份有限公司;836882.OC;2017-12-31;239.74
广州绿石碳科技股份有限公司;871278.OC;2017-12-31;134.80
