客户名称;股票代码;报告期;金额(万元)
康佳集团股份有限公司;000016.SZ;2012-06-30;1,482.63
TCL王牌电器(惠州)有限公司;-;2012-06-30;1,414.90
比亚迪汽车有限公司;-;2012-06-30;1,302.18
北京云基物宇科技股份有限公司;871637.OC;2015-12-31;5.71
