供应商名称;股票代码;报告期;金额(万元)
青岛特殊钢铁有限公司;-;2017-12-31;18,352.00
方大特钢科技股份有限公司;600507.SH;2017-12-31;15,004.00
黄骅聚金五金制品有限公司;-;2017-12-31;11,977.65
万向钱潮股份有限公司;000559.SZ;2017-12-31;11,403.53
长春北特汽车零部件有限公司;-;2017-12-31;7,956.97
