供应商名称;股票代码;报告期;金额(万元)
飞利浦(中国)投资有限公司;-;2016-12-31;1,390.83
汕头市胜达电器有限公司;-;2016-12-31;848.79
锐高照明电子(上海)有限公司;-;2016-12-31;839.45
漳州新格有色金属有限公司;-;2016-12-31;641.29
伊戈尔电气股份有限公司;002922.SZ;2016-12-31;270.99
珠海市乐盈照明器材有限公司;-;2016-12-31;253.25
东南铝业有限公司;-;2016-12-31;243.50
深圳市晶台股份有限公司;-;2016-12-31;243.24
