供应商名称;股票代码;报告期;金额(万元)
杭州中软安人网络通信股份有限公司;835963.OC;2017-12-31;1,094.48
福建博宇信息科技股份有限公司;872195.OC;2017-12-31;534.69
广东开普云信息科技股份有限公司;870863.OC;2017-12-31;350.41
