供应商名称;股票代码;报告期;金额(万元)
大唐高鸿数据网络技术股份有限公司;000851.SZ;2017-12-31;246,081.24
杭州老板电器股份有限公司;002508.SZ;2017-12-31;42,299.97
上海剧星传媒股份有限公司;833153.OC;2017-12-31;7,431.88
北京利仁科技股份有限公司;838907.OC;2017-12-31;3,840.88
深圳华强电子商务股份有限公司;834998.OC;2017-12-31;3,780.91
上海谦玛网络科技股份有限公司;870565.OC;2017-12-31;2,905.94
小狗电器互联网科技(北京)股份有限公司;870077.OC;2017-12-31;2,467.19
苏州伊塔电器科技股份有限公司;834236.OC;2017-12-31;2,406.62
江苏汇特传媒股份有限公司;836884.OC;2017-12-31;2,261.27
新疆海科现代电子科技股份有限公司;835564.OC;2017-12-31;1,833.94
车工科技(北京)股份有限公司;838603.OC;2017-12-31;1,177.13
杭州卡丽智能科技股份有限公司;837238.OC;2017-12-31;1,050.08
北京海唐宋元公关顾问股份有限公司;834687.OC;2017-12-31;876.75
凯诗风尚科技(苏州)股份有限公司;836550.OC;2017-12-31;484.78
杭州第意户外用品设计股份有限公司;872550.OC;2017-12-31;445.39
