客户名称;股票代码;报告期;金额(万元)
吴江港申纺织印染有限公司;-;2017-12-31;5,440.25
盛虹集团有限公司;-;2017-12-31;4,355.70
吴江康帕斯实业有限公司;-;2017-12-31;3,161.90
