供应商名称;股票代码;报告期;金额(万元)
宁夏盈谷实业股份有限公司;830855.OC;2017-12-31;236,048.34
华青融天(北京)技术股份有限公司;836124.OC;2017-12-31;5,923.66
深圳市伊登软件股份有限公司;836441.OC;2017-12-31;1,579.82
上海天跃科技股份有限公司;430675.OC;2017-12-31;1,266.13
融汇通网络服务股份有限公司;870920.OC;2017-12-31;686.77
深圳索信达数据技术股份有限公司;838136.OC;2017-12-31;598.91
广州优识科技资讯股份有限公司;872605.OC;2017-12-31;464.73
上海筑想信息科技股份有限公司;835602.OC;2017-12-31;246.56
北京平安力合科技发展股份有限公司;430296.OC;2017-12-31;197.09
上海鸿翼软件技术股份有限公司;834807.OC;2017-12-31;122.09
山东安之畅信息技术股份有限公司;835682.OC;2017-12-31;96.88
深圳市易瑞来科技股份有限公司;832515.OC;2017-12-31;64.75
上海伊秀餐饮管理股份有限公司;835914.OC;2017-12-31;35.16
