供应商名称;股票代码;报告期;金额(万元)
天津润泽兴盛商贸有限公司;-;2016-12-31;2,162.66
天津市咸通生产资料有限责任公司;-;2016-12-31;1,590.12
Wolverine Advanced Materials, LLC;-;2016-12-31;1,433.81
上海闽路润贸易有限公司;-;2016-12-31;1,306.88
