供应商名称;股票代码;报告期;金额(万元)
芜湖伯特利汽车安全系统股份有限公司;603596.SH;2017-12-31;39,912.98
重庆狼卜品牌营销策划股份有限公司;834919.OC;2017-12-31;8,297.80
重庆普尼朗顿科技股份有限公司;837708.OC;2017-12-31;4,682.87
四川银钢一通凸轮科技股份有限公司;832836.OC;2017-12-31;2,890.41
广东天诚密封件股份有限公司;871870.OC;2017-12-31;2,069.71
江苏骅盛车用电子股份有限公司;838437.OC;2017-12-31;1,777.97
新中天环保股份有限公司;837164.OC;2017-12-31;1,658.02
无锡市贝尔机械股份有限公司;831784.OC;2017-12-31;1,652.47
南京艾布纳密封技术股份有限公司;838882.OC;2017-12-31;1,465.45
恒拓开源信息科技股份有限公司;834415.OC;2017-12-31;1,391.83
舟山海山机械密封材料股份有限公司;870292.OC;2017-12-31;1,184.06
上海瑞珑汽车科技股份有限公司;831684.OC;2017-12-31;666.08
南京卓力昕汽车服务股份有限公司;871003.OC;2017-12-31;614.89
无锡市海航电液伺服系统股份有限公司;430567.OC;2017-12-31;551.78
上海人脉信息技术股份有限公司;871036.OC;2017-12-31;333.92
广东华美易车投资股份有限公司;872690.OC;2017-12-31;92.84
