供应商名称;股票代码;报告期;金额(万元)
长春北方化工灌装设备股份有限公司;837701.OC;2017-12-31;2,235.09
江苏润华电缆股份有限公司;831201.OC;2017-12-31;1,435.41
上海众深科技股份有限公司;832251.OC;2017-12-31;264.42
山东东润仪表科技股份有限公司;839008.OC;2017-12-31;159.54
山东金朋健康股份有限公司;834953.OC;2017-12-31;86.60
