供应商名称;股票代码;报告期;金额(万元)
四川省西点电力设计有限公司;-;2017-12-31;25,087.43
隆基乐叶光伏科技有限公司;-;2017-12-31;6,463.68
江苏中信博新能源科技股份有限公司;-;2017-12-31;2,847.70
中建材信息技术股份有限公司;834082.OC;2017-12-31;2,423.72
