客户名称;股票代码;报告期;金额(万元)
云南忠亚农资有限公司;-;2017-12-31;15,046.03
湖南晶鑫进出口有限公司;-;2017-12-31;5,785.48
北海新奥华恒物流有限公司;-;2017-12-31;3,887.67
