供应商名称;股票代码;报告期;金额(万元)
佛山市顺德区顺戈钢铁贸易有限公司;-;2016-12-31;5,014.48
广东金雁电工科技股份有限公司;-;2016-12-31;4,889.23
天恒达电工科技股份有限公司;-;2016-12-31;2,362.57
