客户名称;股票代码;报告期;金额(万元)
施秉县城镇建设投资开发有限公司;-;2016-12-31;37,837.84
农丰源股份有限公司;-;2016-12-31;10,647.85
温州市洞头区住房和城乡规划建设局;-;2016-12-31;9,063.09
阜康市蓝天热力有限责任公司;-;2016-12-31;8,828.83
武汉森泰环保股份有限公司;832774.OC;2015-12-31;35.83
