供应商名称;股票代码;报告期;金额(万元)
北京和协航电信息科技有限公司;-;2015-12-31;929.02
西安信盟电子有限公司;-;2015-12-31;450.16
西安北方捷瑞光电科技有限公司;-;2015-12-31;417.80
