供应商名称;股票代码;报告期;金额(万元)
晶科能源有限公司;-;2015-12-31;16,452.99
西门子中压开关技术(无锡)有限公司;-;2015-12-31;8,130.07
晋能清洁能源科技有限公司;-;2015-12-31;7,799.58
正信光电科技股份有限公司;838463.OC;2015-12-31;6,547.06
上海海耘钢铁有限公司;-;2015-12-31;3,849.39
浙江广天电力设备股份有限公司;871093.OC;2017-12-31;1,685.10
广州霍斯通电气股份有限公司;831059.OC;2017-12-31;1,663.70
北京奥一新源科技股份有限公司;838590.OC;2017-12-31;296.29
和远智能科技股份有限公司;836184.OC;2017-12-31;173.73
