供应商名称;股票代码;报告期;金额(万元)
湖北雪美实业股份有限公司;-;2014-12-31;4,509.04
无锡市宇田家用纺织品有限公司;-;2014-12-31;1,486.60
上海新世傲文化传播股份有限公司;833057.OC;2016-12-31;379.81
