客户名称;股票代码;报告期;金额(万元)
江西长运股份有限公司;600561.SH;2017-12-31;4,315.74
安徽运泰交通发展股份有限公司;871756.OC;2017-12-31;1,559.49
益阳湘运集团股份有限公司;832354.OC;2017-12-31;278.06
