供应商名称;股票代码;报告期;金额(万元)
建投嘉昱实业投资发展股份有限公司;870261.OC;2017-12-31;54,169.37
中国长城科技集团股份有限公司;000066.SZ;2017-12-31;39,489.41
北京银信长远科技股份有限公司;300231.SZ;2017-12-31;12,758.69
北京金信润天信息技术股份有限公司;430137.OC;2017-12-31;4,635.79
山大地纬软件股份有限公司;831688.OC;2017-12-31;2,198.79
深圳市瑞斯特实业股份有限公司;871094.OC;2017-12-31;2,124.17
四川金投金融电子服务股份有限公司;834023.OC;2017-12-31;1,969.45
北京信索咨询股份有限公司;839340.OC;2017-12-31;1,742.02
北京智慧眼科技股份有限公司;836147.OC;2017-12-31;1,688.03
神思电子技术股份有限公司;300479.SZ;2017-12-31;1,560.74
深圳市荣超物业管理股份有限公司;838844.OC;2017-12-31;1,534.44
北京宝润兴业科技股份有限公司;833856.OC;2017-12-31;1,506.17
湖南美诺信息科技股份有限公司;870538.OC;2017-12-31;1,277.54
星空电讯科技(北京)股份有限公司;835123.OC;2017-12-31;1,042.07
和美(深圳)信息技术股份有限公司;839576.OC;2017-12-31;876.50
北京科创融鑫科技股份有限公司;839037.OC;2017-12-31;875.02
长沙卡友信息服务股份有限公司;836226.OC;2017-12-31;651.15
北京平安力合科技发展股份有限公司;430296.OC;2017-12-31;630.26
北京淘礼网科技股份有限公司;430298.OC;2017-12-31;449.68
上海昂克文化传媒股份有限公司;839958.OC;2017-12-31;434.22
内蒙古仁和服务股份有限公司;839177.OC;2017-12-31;417.82
天利仁和物业服务股份有限公司;870265.OC;2017-12-31;408.21
深圳市拜特科技股份有限公司;834596.OC;2017-12-31;379.49
北京维珍创意科技股份有限公司;430305.OC;2017-12-31;289.46
沃顿信息科技(湖南)股份有限公司;831440.OC;2017-12-31;213.83
金智东博(北京)教育科技股份有限公司;838461.OC;2017-12-31;208.44
北京资旗源信息技术股份有限公司;835851.OC;2017-12-31;180.31
北京东方京融教育科技股份有限公司;837052.OC;2017-12-31;155.01
湖南辰泰信息科技股份有限公司;833681.OC;2017-12-31;151.45
江苏联纵传媒股份有限公司;838229.OC;2017-12-31;113.39
