供应商名称;股票代码;报告期;金额(万元)
中石化石油工程技术服务股份有限公司;600871.SH;2017-12-31;2,836,983.70
中粮生物化学(安徽)股份有限公司;000930.SZ;2017-12-31;322,684.40
北方华锦化学工业股份有限公司;000059.SZ;2017-12-31;270,541.84
北京中元成能源技术股份有限公司;838944.OC;2017-12-31;79,871.84
淄博鲁华泓锦新材料股份有限公司;833831.OC;2017-12-31;27,040.59
山东宝莫生物化工股份有限公司;002476.SZ;2017-12-31;19,667.03
山东开泰石化股份有限公司;831928.OC;2017-12-31;12,233.20
山东三维石化工程股份有限公司;002469.SZ;2017-12-31;9,916.90
山东胜软科技股份有限公司;833339.OC;2017-12-31;9,456.53
西安万德能源化学股份有限公司;836419.OC;2017-12-31;4,791.61
山东海天物联股份有限公司;831924.OC;2017-12-31;4,216.78
西安奥华电子仪器股份有限公司;837998.OC;2017-12-31;4,038.65
湖南凯美特气体股份有限公司;002549.SZ;2017-12-31;3,475.30
浙江中德自控科技股份有限公司;831294.OC;2017-12-31;2,653.94
山东奥旺迪化学股份有限公司;870212.OC;2017-12-31;2,540.00
河南科益气体股份有限公司;832511.OC;2017-12-31;1,993.42
江苏润华电缆股份有限公司;831201.OC;2017-12-31;1,838.46
北京群智合信息科技股份有限公司;836442.OC;2017-12-31;1,660.00
深圳泰来太阳能照明股份有限公司;839882.OC;2017-12-31;1,519.18
明光浩淼安防科技股份公司;831856.OC;2017-12-31;1,478.29
北京国基科技股份有限公司;430076.OC;2017-12-31;1,388.44
北京高新利华科技股份有限公司;836139.OC;2017-12-31;1,096.78
山东美陵化工设备股份有限公司;838404.OC;2017-12-31;1,024.84
上海未来企业股份有限公司;833697.OC;2017-12-31;555.79
江西通达航运股份有限公司;839753.OC;2017-12-31;494.69
威海鸿通管材股份有限公司;832234.OC;2017-12-31;476.60
西安威盛电子科技股份有限公司;833073.OC;2017-12-31;460.13
湖北江汉石油仪器仪表股份有限公司;430149.OC;2017-12-31;459.39
西安东风机电股份有限公司;836797.OC;2017-12-31;443.00
锐驰高科股份有限公司;838355.OC;2017-12-31;439.03
