供应商名称;股票代码;报告期;金额(万元)
青田杰邦鞋服有限公司;-;2016-12-31;6,015.51
泉州市爱贝丽儿童用品有限公司;-;2016-12-31;3,985.39
福建省南安市锦绣服饰有限公司;-;2016-12-31;3,737.07
温州市鹏星源鞋业有限公司;-;2016-12-31;2,822.14
泉州欣欣文化传媒股份有限公司;839726.OC;2015-12-31;141.51
