供应商名称;股票代码;报告期;金额(万元)
中国长城科技集团股份有限公司;000066.SZ;2017-12-31;34,909.59
上海财安金融服务集团股份有限公司;430656.OC;2017-12-31;5,849.61
湖南丰汇银佳科技股份有限公司;833592.OC;2017-12-31;5,465.30
新疆西部牧业股份有限公司;300106.SZ;2017-12-31;4,544.00
福建金科信息技术股份有限公司;831107.OC;2017-12-31;3,845.32
上海艾融软件股份有限公司;830799.OC;2017-12-31;3,330.73
山大地纬软件股份有限公司;831688.OC;2017-12-31;1,679.19
北京思创银联科技股份有限公司;430152.OC;2017-12-31;1,633.16
星空电讯科技(北京)股份有限公司;835123.OC;2017-12-31;1,498.69
北京科创融鑫科技股份有限公司;839037.OC;2017-12-31;1,098.67
中工美(北京)国际货运代理股份有限公司;871144.OC;2017-12-31;677.28
福建创识科技股份有限公司;832953.OC;2017-12-31;392.21
北京平安力合科技发展股份有限公司;430296.OC;2017-12-31;242.37
联创新世纪(北京)品牌管理股份有限公司;835854.OC;2017-12-31;220.84
湖南辰泰信息科技股份有限公司;833681.OC;2017-12-31;217.17
山东嘉友互联软件股份有限公司;833815.OC;2017-12-31;215.02
深圳聚融科技股份有限公司;838594.OC;2017-12-31;199.07
宁波红五星传媒股份有限公司;838576.OC;2017-12-31;188.36
凯诗风尚科技(苏州)股份有限公司;836550.OC;2017-12-31;150.84
深圳市联瀛科技股份有限公司;839480.OC;2017-12-31;112.46
山东银维科技股份有限公司;870192.OC;2017-12-31;88.58
北京银联信科技股份有限公司;838723.OC;2017-12-31;82.25
中山银利智能科技股份有限公司;430509.OC;2017-12-31;75.67
广东三人行管理咨询股份有限公司;834143.OC;2017-12-31;63.59
汉能碳资产管理(北京)股份有限公司;831646.OC;2017-12-31;49.54
