供应商名称;股票代码;报告期;金额(万元)
中建材信息技术股份有限公司;834082.OC;2015-12-31;194.60
广州市国迈科技有限公司;-;2015-12-31;173.70
安徽天勤盛创信息科技股份有限公司;838986.OC;2015-12-31;106.36
