板块名称
融资融券标的
概念板块龙头
云计算
核高基
去IOE
央企
全A
ERP软件
国产软硬件
智慧党建
中国电子
透明计算
云服务
WAPI
手机芯片
操作系统国产化
中字头
电子政务
电子信息
信息消费
智能终端
知识产权
领涨龙头
融资融券
