"stock_code"	"chi_sht"	"com_name"	"class_system"	"ind_name"
"002421.SZ"	"达实智能"	"深圳达实智能股份有限公司"	"申万三级"	"IT服务"
"002474.SZ"	"榕基软件"	"福建榕基软件股份有限公司"	"申万三级"	"IT服务"
"002512.SZ"	"达华智能"	"中山达华智能科技股份有限公司"	"申万三级"	"IT服务"
"002609.SZ"	"捷顺科技"	"深圳市捷顺科技实业股份有限公司"	"申万三级"	"IT服务"
"002642.SZ"	"荣之联"	"北京荣之联科技股份有限公司"	"申万三级"	"IT服务"
"002649.SZ"	"博彦科技"	"博彦科技股份有限公司"	"申万三级"	"IT服务"
"002657.SZ"	"中科金财"	"北京中科金财科技股份有限公司"	"申万三级"	"IT服务"
"002766.SZ"	"索菱股份"	"深圳市索菱实业股份有限公司"	"申万三级"	"IT服务"
"002771.SZ"	"真视通"	"北京真视通科技股份有限公司"	"申万三级"	"IT服务"
"002777.SZ"	"久远银海"	"四川久远银海软件股份有限公司"	"申万三级"	"IT服务"
"300002.SZ"	"神州泰岳"	"北京神州泰岳软件股份有限公司"	"申万三级"	"IT服务"
"300010.SZ"	"立思辰"	"北京立思辰科技股份有限公司"	"申万三级"	"IT服务"
"300020.SZ"	"银江股份"	"银江股份有限公司"	"申万三级"	"IT服务"
"300044.SZ"	"赛为智能"	"深圳市赛为智能股份有限公司"	"申万三级"	"IT服务"
"300051.SZ"	"三五互联"	"厦门三五互联科技股份有限公司"	"申万三级"	"IT服务"
"300079.SZ"	"数码科技"	"北京数码视讯科技股份有限公司"	"申万三级"	"IT服务"
"300096.SZ"	"易联众"	"易联众信息技术股份有限公司"	"申万三级"	"IT服务"
"300150.SZ"	"世纪瑞尔"	"北京世纪瑞尔技术股份有限公司"	"申万三级"	"IT服务"
"300166.SZ"	"东方国信"	"北京东方国信科技股份有限公司"	"申万三级"	"IT服务"
"300167.SZ"	"迪威迅"	"深圳市迪威迅股份有限公司"	"申万三级"	"IT服务"
"300168.SZ"	"万达信息"	"万达信息股份有限公司"	"申万三级"	"IT服务"
"300170.SZ"	"汉得信息"	"上海汉得信息技术股份有限公司"	"申万三级"	"IT服务"
"300212.SZ"	"易华录"	"北京易华录信息技术股份有限公司"	"申万三级"	"IT服务"
"300231.SZ"	"银信科技"	"北京银信长远科技股份有限公司"	"申万三级"	"IT服务"
"300245.SZ"	"天玑科技"	"上海天玑科技股份有限公司"	"申万三级"	"IT服务"
"300248.SZ"	"新开普"	"新开普电子股份有限公司"	"申万三级"	"IT服务"
"300264.SZ"	"佳创视讯"	"深圳市佳创视讯技术股份有限公司"	"申万三级"	"IT服务"
"300271.SZ"	"华宇软件"	"北京华宇软件股份有限公司"	"申万三级"	"IT服务"
"300277.SZ"	"海联讯"	"深圳海联讯科技股份有限公司"	"申万三级"	"IT服务"
"300287.SZ"	"飞利信"	"北京飞利信科技股份有限公司"	"申万三级"	"IT服务"
"300290.SZ"	"荣科科技"	"荣科科技股份有限公司"	"申万三级"	"IT服务"
"300297.SZ"	"蓝盾股份"	"蓝盾信息安全技术股份有限公司"	"申万三级"	"IT服务"
"300300.SZ"	"汉鼎宇佑"	"汉鼎宇佑互联网股份有限公司"	"申万三级"	"IT服务"
"300324.SZ"	"旋极信息"	"北京旋极信息技术股份有限公司"	"申万三级"	"IT服务"
"300330.SZ"	"华虹计通"	"上海华虹计通智能系统股份有限公司"	"申万三级"	"IT服务"
"300339.SZ"	"润和软件"	"江苏润和软件股份有限公司"	"申万三级"	"IT服务"
"300365.SZ"	"恒华科技"	"北京恒华伟业科技股份有限公司"	"申万三级"	"IT服务"
"300384.SZ"	"三联虹普"	"北京三联虹普新合纤技术服务股份有限公司"	"申万三级"	"IT服务"
"300399.SZ"	"京天利"	"北京无线天利移动信息技术股份有限公司"	"申万三级"	"IT服务"
"600703.SH"	"三安光电"	"三安光电股份有限公司"	"申万三级"	"LED"
"600460.SH"	"士兰微"	"杭州士兰微电子股份有限公司"	"申万三级"	"LED"
"600363.SH"	"联创光电"	"江西联创光电科技股份有限公司"	"申万三级"	"LED"
"300389.SZ"	"艾比森"	"深圳市艾比森光电股份有限公司"	"申万三级"	"LED"
"300346.SZ"	"南大光电"	"江苏南大光电材料股份有限公司"	"申万三级"	"LED"
"300323.SZ"	"华灿光电"	"华灿光电股份有限公司"	"申万三级"	"LED"
"300317.SZ"	"珈伟股份"	"深圳珈伟光伏照明股份有限公司"	"申万三级"	"LED"
"300303.SZ"	"聚飞光电"	"深圳市聚飞光电股份有限公司"	"申万三级"	"LED"
"300301.SZ"	"长方集团"	"深圳市长方集团股份有限公司"	"申万三级"	"LED"
"300296.SZ"	"利亚德"	"利亚德光电股份有限公司"	"申万三级"	"LED"
"300269.SZ"	"联建光电"	"深圳市联建光电股份有限公司"	"申万三级"	"LED"
"300241.SZ"	"瑞丰光电"	"深圳市瑞丰光电子股份有限公司"	"申万三级"	"LED"
"300232.SZ"	"洲明科技"	"深圳市洲明科技股份有限公司"	"申万三级"	"LED"
"300219.SZ"	"鸿利智汇"	"鸿利智汇集团股份有限公司"	"申万三级"	"LED"
"300162.SZ"	"雷曼股份"	"深圳雷曼光电科技股份有限公司"	"申万三级"	"LED"
"300102.SZ"	"乾照光电"	"厦门乾照光电股份有限公司"	"申万三级"	"LED"
"002745.SZ"	"木林森"	"木林森股份有限公司"	"申万三级"	"LED"
"002654.SZ"	"万润科技"	"深圳万润科技股份有限公司"	"申万三级"	"LED"
"002638.SZ"	"勤上股份"	"东莞勤上光电股份有限公司"	"申万三级"	"LED"
"002587.SZ"	"奥拓电子"	"深圳市奥拓电子股份有限公司"	"申万三级"	"LED"
"002449.SZ"	"国星光电"	"佛山市国星光电股份有限公司"	"申万三级"	"LED"
"002005.SZ"	"德豪润达"	"广东德豪润达电气股份有限公司"	"申万三级"	"LED"
"600865.SH"	"百大集团"	"百大集团股份有限公司"	"申万三级"	"一般物业经营"
"600824.SH"	"益民集团"	"上海益民商业集团股份有限公司"	"申万三级"	"一般物业经营"
"600306.SH"	"商业城"	"沈阳商业城股份有限公司"	"申万三级"	"一般物业经营"
"000882.SZ"	"华联股份"	"北京华联商厦股份有限公司"	"申万三级"	"一般物业经营"
"000861.SZ"	"海印股份"	"广东海印集团股份有限公司"	"申万三级"	"一般物业经营"
"000560.SZ"	"我爱我家"	"我爱我家控股集团股份有限公司"	"申万三级"	"一般物业经营"
"000058.SZ"	"深赛格"	"深圳赛格股份有限公司"	"申万三级"	"一般物业经营"
"600790.SH"	"轻纺城"	"浙江中国轻纺城集团股份有限公司"	"申万三级"	"专业市场"
"600738.SH"	"兰州民百"	"兰州民百(集团)股份有限公司"	"申万三级"	"专业市场"
"600415.SH"	"小商品城"	"浙江中国小商品城集团股份有限公司"	"申万三级"	"专业市场"
"002344.SZ"	"海宁皮城"	"海宁中国皮革城股份有限公司"	"申万三级"	"专业市场"
"000062.SZ"	"深圳华强"	"深圳华强实业股份有限公司"	"申万三级"	"专业市场"
"000061.SZ"	"农产品"	"深圳市农产品股份有限公司"	"申万三级"	"专业市场"
"600898.SH"	"国美通讯"	"国美通讯设备股份有限公司"	"申万三级"	"专业连锁"
"600704.SH"	"物产中大"	"物产中大集团股份有限公司"	"申万三级"	"专业连锁"
"600655.SH"	"豫园股份"	"上海豫园旅游商城股份有限公司"	"申万三级"	"专业连锁"
"600122.SH"	"宏图高科"	"江苏宏图高科技股份有限公司"	"申万三级"	"专业连锁"
"300022.SZ"	"吉峰农机"	"吉峰农机连锁股份有限公司"	"申万三级"	"专业连锁"
"002416.SZ"	"爱施德"	"深圳市爱施德股份有限公司"	"申万三级"	"专业连锁"
"002024.SZ"	"苏宁易购"	"苏宁易购集团股份有限公司"	"申万三级"	"专业连锁"
"000829.SZ"	"天音控股"	"天音通信控股股份有限公司"	"申万三级"	"专业连锁"
"600232.SH"	"金鹰股份"	"浙江金鹰股份有限公司"	"申万三级"	"丝绸"
"002404.SZ"	"嘉欣丝绸"	"浙江嘉欣丝绸股份有限公司"	"申万三级"	"丝绸"
"601616.SH"	"广电电气"	"上海广电电气(集团)股份有限公司"	"申万三级"	"中压设备"
"600517.SH"	"置信电气"	"上海置信电气股份有限公司"	"申万三级"	"中压设备"
"600379.SH"	"宝光股份"	"陕西宝光真空电器股份有限公司"	"申万三级"	"中压设备"
"600353.SH"	"旭光股份"	"成都旭光电子股份有限公司"	"申万三级"	"中压设备"
"600192.SH"	"长城电工"	"兰州长城电工股份有限公司"	"申万三级"	"中压设备"
"600112.SH"	"天成控股"	"贵州长征天成控股股份有限公司"	"申万三级"	"中压设备"
"300477.SZ"	"合纵科技"	"北京合纵科技股份有限公司"	"申万三级"	"中压设备"
"300444.SZ"	"双杰电气"	"北京双杰电气股份有限公司"	"申万三级"	"中压设备"
"300423.SZ"	"鲁亿通"	"山东鲁亿通智能电气股份有限公司"	"申万三级"	"中压设备"
"300062.SZ"	"中能电气"	"中能电气股份有限公司"	"申万三级"	"中压设备"
"300001.SZ"	"特锐德"	"青岛特锐德电气股份有限公司"	"申万三级"	"中压设备"
"002622.SZ"	"融钰集团"	"融钰集团股份有限公司"	"申万三级"	"中压设备"
"002358.SZ"	"森源电气"	"河南森源电气股份有限公司"	"申万三级"	"中压设备"
"002350.SZ"	"北京科锐"	"北京科锐配电自动化股份有限公司"	"申万三级"	"中压设备"
"002323.SZ"	"雅百特"	"江苏雅百特科技股份有限公司"	"申万三级"	"中压设备"
"002298.SZ"	"中电鑫龙"	"安徽中电兴发与鑫龙科技股份有限公司"	"申万三级"	"中压设备"
"002112.SZ"	"三变科技"	"三变科技股份有限公司"	"申万三级"	"中压设备"
"002074.SZ"	"国轩高科"	"国轩高科股份有限公司"	"申万三级"	"中压设备"
"603998.SH"	"方盛制药"	"湖南方盛制药股份有限公司"	"申万三级"	"中药"
"603567.SH"	"珍宝岛"	"黑龙江珍宝岛药业股份有限公司"	"申万三级"	"中药"
"600993.SH"	"马应龙"	"马应龙药业集团股份有限公司"	"申万三级"	"中药"
"600976.SH"	"健民集团"	"健民药业集团股份有限公司"	"申万三级"	"中药"
"600781.SH"	"辅仁药业"	"辅仁药业集团实业股份有限公司"	"申万三级"	"中药"
"600750.SH"	"江中药业"	"江中药业股份有限公司"	"申万三级"	"中药"
"600671.SH"	"天目药业"	"杭州天目山药业股份有限公司"	"申万三级"	"中药"
"600613.SH"	"神奇制药"	"上海神奇制药投资管理股份有限公司"	"申万三级"	"中药"
"000423.SZ"	"东阿阿胶"	"山东东阿阿胶股份有限公司"	"申万三级"	"中药"
"000538.SZ"	"云南白药"	"云南白药集团股份有限公司"	"申万三级"	"中药"
"000590.SZ"	"启迪古汉"	"启迪古汉集团股份有限公司"	"申万三级"	"中药"
"000606.SZ"	"神州易桥"	"神州易桥信息服务股份有限公司"	"申万三级"	"中药"
"000623.SZ"	"吉林敖东"	"吉林敖东药业集团股份有限公司"	"申万三级"	"中药"
"000650.SZ"	"仁和药业"	"仁和药业股份有限公司"	"申万三级"	"中药"
"000766.SZ"	"通化金马"	"通化金马药业集团股份有限公司"	"申万三级"	"中药"
"000790.SZ"	"泰合健康"	"成都泰合健康科技集团股份有限公司"	"申万三级"	"中药"
"000989.SZ"	"九芝堂"	"九芝堂股份有限公司"	"申万三级"	"中药"
"000999.SZ"	"华润三九"	"华润三九医药股份有限公司"	"申万三级"	"中药"
"002107.SZ"	"沃华医药"	"山东沃华医药科技股份有限公司"	"申万三级"	"中药"
"002118.SZ"	"紫鑫药业"	"吉林紫鑫药业股份有限公司"	"申万三级"	"中药"
"002166.SZ"	"莱茵生物"	"桂林莱茵生物科技股份有限公司"	"申万三级"	"中药"
"002198.SZ"	"嘉应制药"	"广东嘉应制药股份有限公司"	"申万三级"	"中药"
"002275.SZ"	"桂林三金"	"桂林三金药业股份有限公司"	"申万三级"	"中药"
"002287.SZ"	"奇正藏药"	"西藏奇正藏药股份有限公司"	"申万三级"	"中药"
"002317.SZ"	"众生药业"	"广东众生药业股份有限公司"	"申万三级"	"中药"
"002349.SZ"	"精华制药"	"精华制药集团股份有限公司"	"申万三级"	"中药"
"002412.SZ"	"汉森制药"	"湖南汉森制药股份有限公司"	"申万三级"	"中药"
"002424.SZ"	"贵州百灵"	"贵州百灵企业集团制药股份有限公司"	"申万三级"	"中药"
"002433.SZ"	"太安堂"	"广东太安堂药业股份有限公司"	"申万三级"	"中药"
"002566.SZ"	"益盛药业"	"吉林省集安益盛药业股份有限公司"	"申万三级"	"中药"
"002603.SZ"	"以岭药业"	"石家庄以岭药业股份有限公司"	"申万三级"	"中药"
"002644.SZ"	"佛慈制药"	"兰州佛慈制药股份有限公司"	"申万三级"	"中药"
"002728.SZ"	"特一药业"	"特一药业集团股份有限公司"	"申万三级"	"中药"
"002737.SZ"	"葵花药业"	"葵花药业集团股份有限公司"	"申万三级"	"中药"
"002750.SZ"	"龙津药业"	"昆明龙津药业股份有限公司"	"申万三级"	"中药"
"300039.SZ"	"上海凯宝"	"上海凯宝药业股份有限公司"	"申万三级"	"中药"
"300049.SZ"	"福瑞股份"	"内蒙古福瑞医疗科技股份有限公司"	"申万三级"	"中药"
"300147.SZ"	"香雪制药"	"广州市香雪制药股份有限公司"	"申万三级"	"中药"
"300158.SZ"	"振东制药"	"山西振东制药股份有限公司"	"申万三级"	"中药"
"300181.SZ"	"佐力药业"	"浙江佐力药业股份有限公司"	"申万三级"	"中药"
"600085.SH"	"同仁堂"	"北京同仁堂股份有限公司"	"申万三级"	"中药"
"600129.SH"	"太极集团"	"重庆太极实业股份有限公司"	"申万三级"	"中药"
"600211.SH"	"西藏药业"	"西藏诺迪康药业股份有限公司"	"申万三级"	"中药"
"600222.SH"	"太龙药业"	"河南太龙药业股份有限公司"	"申万三级"	"中药"
"600252.SH"	"中恒集团"	"广西梧州中恒集团股份有限公司"	"申万三级"	"中药"
"600285.SH"	"羚锐制药"	"河南羚锐制药股份有限公司"	"申万三级"	"中药"
