股票代码;公司简称;公司全称;公司英文名称;成立日期;所属地域;曾用名;法定代表人;独立董事;会计师事务所;证券事务代表;咨询服务机构;所属概念;所属行业
002199;东晶电子;浙江东晶电子股份有限公司;Zhejiang East Crystal Electronic Co., Ltd.;1999-04-23;浙江;东晶电子、*ST东晶;王皓;巢序、徐杰震、梁华权、尤挺辉;立信会计师事务所(特殊普通合伙);--;上海市锦天城律师事务所;ST板块;电子电气组件与设备
002200;云投生态;云南云投生态环境科技股份有限公司;Yunnan Yuntou Ecology and Environment Technology Co., Ltd.;2001-03-28;云南;绿大地、*ST大地、绿大地;杨槐璋;周洁敏、纳超洪、尚志强;山东和信会计师事务所(特殊普通合伙);熊艳芳;四川天澄门律师事务所;--;林业
002201;九鼎新材;江苏九鼎新材料股份有限公司;Jiangsu Jiuding New Material Co., Ltd.;1994-06-30;江苏;--;王文银;钟刚、居学成、朱鉴;立信会计师事务所（特殊普通合伙）;李婵婵;北京市天银律师事务所;--;建材与构件
002202;金风科技;新疆金风科技股份有限公司;Xinjiang Goldwind Science and Technology Co., Ltd.;2001-03-26;新疆;--;武钢;黄天祐、杨校生、罗振邦;安永华明会计师事务所(特殊普通合伙);冀田;新疆天阳律师事务所;低碳经济、含H股、苹果概念、融资融券;工业机械
002203;海亮股份;浙江海亮股份有限公司;Zhejiang Hailiang Co., Ltd.;2001-10-29;浙江;--;朱张泉;范顺科、叶雪芳、章靖忠;大信会计师事务所(特殊普通合伙);朱琳;德恒(北京)律师事务所;海水淡化、空气治理、融资融券、涉矿概念;有色金属
002204;大连重工;大连华锐重工集团股份有限公司;Dalian Huarui Heavy Industry Group Co., Ltd.;1999-07-13;辽宁;华锐铸钢;丛红;戴大双、刘永泽、杨波、张树贤;瑞华会计师事务所(特殊普通合伙);李慧;辽宁华夏律师事务所;融资融券;工业机械
002205;国统股份;新疆国统管道股份有限公司;Xinjiang Guotong Pipeline Co., Ltd.;2001-08-30;新疆;--;徐永平;邓峰、汤洋、陈彤;国富浩华会计师事务所(特殊普通合伙);郭静;广东信扬律师事务所;水利建设;建材与构件
002206;海利得;浙江海利得新材料股份有限公司;Zhejiang Hailide New Material Co., Ltd.;2001-05-21;浙江;--;高利民;黄卫书、杨鹰彪、平衡;天健会计师事务所(特殊普通合伙);魏静聪;浙江天册律师事务所;锂电池、涉矿概念;通用化工品
002207;*ST准油;新疆准东石油技术股份有限公司;Xinjiang Zhundong Petroleum Technology Co., Ltd.;2003-12-29;新疆;准油股份;徐浩钧;顾玉荣、朱明、王京伟;立信会计师事务所（特殊普通合伙）;战冬;新疆天阳律师事务所;可燃冰、丝绸之路;石油勘探与开采
002208;合肥城建;合肥城建发展股份有限公司;Hefei Urban Construction Development Co., Ltd.;1999-09-07;安徽;--;王晓毅;周亚娜、孔令刚、於恒强、徐淑萍;华普天健会计师事务所(特殊普通合伙);--;安徽承义律师事务所;皖江区域;不动产投资开发
002209;达意隆;广州达意隆包装机械股份有限公司;Guangzhou Tech-long Packing Machine Co., Ltd.;2006-12-13;广东;--;杜力;黄德汉、吴鹰、陈健斌;广东正中珠江会计事务所(特殊普通合伙);李春燕(代);广东广大律师事务所;--;工业机械
002210;飞马国际;深圳市飞马国际供应链股份有限公司;Shenzhen Feima International Supply Chain Co., Ltd.;1998-07-09;广东;--;黄壮勉;张革初、王国文、晏金发;立信会计师事务所(特殊普通合伙);刘智洋;北京市金杜律师事务所;融资融券、物联网;运输服务
002211;宏达新材;江苏宏达新材料股份有限公司;Jiangsu Hongda New Material Co., Ltd.;2002-04-24;江苏;--;何百祥;顾其荣、许良虎;江苏公证天业会计师事务所(特殊普通合伙);黄磊;北京市天银律师事务所;--;通用化工品
002212;南洋股份;南洋天融信科技集团股份有限公司;Nanyang Topsec Technologies Group Inc.;1985-08-30;广东;--;郑汉武;刘伟、刘少周、冯海涛;大华会计师事务所(特殊普通合伙);谢馥菁;国浩律师集团（广州）事务所;充电桩、核电核能;电子电气组件与设备
002213;特尔佳;深圳市特尔佳科技股份有限公司;Shenzhen Terca Technology Co., Ltd.;2000-10-25;广东;--;连松育;崔军、林卓彬、孙东升;中兴财光华会计师事务所(特殊普通合伙);李玲;北京市天元律师事务所;--;汽车零配件（IV）
002214;大立科技;浙江大立科技股份有限公司;Zhejiang Dali Technology Co., Ltd.;2005-11-17;浙江;--;庞惠民;徐金发、李纪南、潘自强;天健会计师事务所(特殊普通合伙);包莉清;国浩律师集团（杭州）事务所;安防服务、国防军工、军工航天;电子设备
002215;诺普信;深圳诺普信农化股份有限公司;Shenzhen Noposion Pesticide Co., Ltd.;2005-11-22;广东;--;卢柏强;孔祥云、孙叔宝、刘成敏;大华会计师事务所(特殊普通合伙);--;广东君言律师事务所;乡村振兴、新零售、网贷概念;特种化工品
002216;三全食品;三全食品股份有限公司;Sanquan Food Co., Ltd.;2001-06-28;河南;--;陈南;臧冬斌、杜海波、沈祥坤;致同会计师事务所(特殊普通合伙);徐晓;北京市君泽君律师事务所;--;食品生产（IV）
002217;合力泰;合力泰科技股份有限公司;Holitech Technology Co., Ltd.;2003-04-30;山东;联合化工、*ST联工、*ST合泰;文开福;何为、吴育辉、李有臣、谢岭;上会会计师事务所(特殊普通合伙);陈海元;北京华联律师事务所;触摸屏、黄河三角;电子电气组件与设备
002218;拓日新能;深圳市拓日新能源科技股份有限公司;Shenzhen Topraysolar Co., Ltd.;2007-02-16;广东;--;陈五奎;郭宝平、冯东、李青原;大华会计师事务所(特殊普通合伙);龚艳平;国浩律师集团（深圳）事务所;多晶硅、太阳能、网贷概念;半导体
002219;恒康医疗;恒康医疗集团股份有限公司;Hengkang medical Group Co.LTD;2001-09-30;甘肃;独一味;周先敏;郭磊明、王良成、张雪梅;瑞华会计师事务所(特殊普通合伙);--;北京尚公律师事务所;--;制药
002220;天宝食品;大连天宝绿色食品股份有限公司;Dalian Tianbao Green Foods Co., Ltd.;1997-09-25;辽宁;--;黄作庆;张先治、刘晓光、陈国辉;瑞华会计师事务所（特殊普通合伙）;刘惠楠;北京市康达律师事务所;--;农业与渔业
002221;东华能源;东华能源股份有限公司;Oriental Energy Co., Ltd.;1996-04-22;江苏;--;周一峰;鲁毅、沈先金、李翔;江苏苏亚金诚会计师事务所（特殊普通合伙）;黎书文;江苏苏源律师事务所;可燃冰、融资融券、页岩气;油气综采
002222;福晶科技;福建福晶科技股份有限公司;Castech Inc.;2001-10-31;福建;--;陈辉;李文、陈金山、陈炳玉;福建华兴会计师事务所(特殊普通合伙);薛汉锋;德恒(北京)律师事务所;3D打印、海峡西岸;电子电气组件与设备
002223;鱼跃医疗;江苏鱼跃医疗设备股份有限公司;Jiangsu Yuyue Medical Equipment and Supply Co., Ltd.;2007-06-28;江苏;--;吴光明;陈平、李祖滨、王千华;信永中和会计师事务所(特殊普通合伙);方明珠;通力律师事务所;融资融券;医疗设备
002224;三力士;三力士股份有限公司;Sanlux Co.Ltd.;2002-11-11;浙江;--;吴培生;周应苗、范仁德、沙建尧;立信会计师事务所（特殊普通合伙）;--;上海市锦天城律师事务所;国防军工、军工航天、军民融合;工业机械
002225;濮耐股份;濮阳濮耐高温材料(集团)股份有限公司;Puyang Refractories Group Co., Ltd.;2002-01-28;河南;--;刘百宽;王广鹏、叶国田、徐殿利;中勤万信会计师事务所(特殊普通合伙);张雷;观韬律师事务所;涉矿概念;建材与构件
002226;江南化工;安徽江南化工股份有限公司;Anhui Jiangnan Chemical Industry Co., Ltd.;2005-12-28;安徽;--;郭曙光;汪炜、何元福、邹峻;瑞华会计师事务所(特殊普通合伙);张东升;北京市浩天信和律师事务所;皖江区域;特种化工品
002227;奥特迅;深圳奥特迅电力设备股份有限公司;Shenzhen Auto Electric Power Plant Co., Ltd.;1998-02-20;广东;--;廖晓霞;黄瑞、张宏图、郭万达;大华会计师事务所(特殊普通合伙);郑黎君;北京市天银律师事务所;充电桩、低碳经济、核电核能;电子电气组件与设备
002228;合兴包装;厦门合兴包装印刷股份有限公司;Xiamen Hexing Packaging Printing Co., Ltd.;2007-01-30;福建;--;许晓光;苏伟斌、卢永华、黄健雄;致同会计师事务所(特殊普通合伙);王萍萍;德恒(北京)律师事务所;海峡西岸;造纸
002229;鸿博股份;鸿博股份有限公司;HONGBOCO.,LTD.;1999-06-15;福建;--;尤友岳;洪波、许萍、胡穗华;致同会计师事务所(特殊普通合伙);闫春江;福建至理律师事务所;海峡西岸、融资融券;商业辅助服务
002230;科大讯飞;科大讯飞股份有限公司;IFLYTEK CO.LTD.;1999-12-30;安徽;--;刘庆峰;张本照、赵惠芳、舒华英、刘建华;华普天健会计师事务所(特殊普通合伙);常晓明;安徽天禾律师事务所;安防服务、融资融券、腾讯概念、皖江区域;软件
002231;奥维通信;奥维通信股份有限公司;Allwin Telecommunication Co., Ltd.;2000-12-21;辽宁;--;杜方;黄鹏、钟田丽、钟田丽;华普天健会计师事务所(特殊普通合伙);潘玉昆;德恒(北京)律师事务所;国防军工、军工航天、宽带提速、物联网;通讯设备
002232;启明信息;启明信息技术股份有限公司;Qiming Information Technology Co., Ltd.;2004-04-19;吉林;--;董海洋;孙立荣、于福、刘衍珩;信永中和会计师事务所;洪小矢;吉林兢诚律师事务所;汽车电子、图们江、卫星导航、智能交通;软件
002233;塔牌集团;广东塔牌集团股份有限公司;Guangdong Tapai Group Co., Ltd.;2007-04-28;广东;--;何坤皇;陈君柱、吴笑梅;立信会计师事务所（特殊普通合伙）;曾文忠;北京市君合律师事务所;保障房、融资融券;建材与构件
002234;民和股份;山东民和牧业股份有限公司;Shandong Minhe Animal Husbandry Co., Ltd.;2000-12-01;山东;民和股份、*ST民和;孙希民;刘嘉厚、张云龙、胡卫华;中兴华会计师事务所(特殊普通合伙);高小涛;上海市锦天城律师事务所;生物质能;农业与渔业
002235;安妮股份;厦门安妮股份有限公司;Xiamen Anne Corporation Limited;2007-05-25;福建;--;张杰;刘世平、涂连东、刘晓海;立信会计师事务所(特殊普通合伙);谢蓉;北京市金杜律师事务所;海峡西岸、IP变现、腾讯概念、虚拟现实;造纸
002236;大华股份;浙江大华技术股份有限公司;Zhejiang Dahua Technology Co., Ltd.;2002-04-04;浙江;--;傅利泉;王泽霞、何超、黄斯颖;立信会计师事务所（特殊普通合伙）;楼琼宇;上海市锦天城律师事务所;安防服务、融资融券、智能交通;电子设备
002237;恒邦股份;山东恒邦冶炼股份有限公司;Shandong Humon Smelting Co., Ltd.;1997-06-26;山东;--;曲胜利;张昱波、战淑萍、黄祥华;山东和信会计师事务所(特殊普通合伙);--;上海市锦天城律师事务所;黄金概念、融资融券;铂与贵金属开采
002238;天威视讯;深圳市天威视讯股份有限公司;Shenzhen Topway Video Communication Co., Ltd.;1995-07-18;广东;--;郑鼎文;宋建武、王匡、张建军、曹叠云;立信会计师事务所(特殊普通合伙);金樵;广东信达律师事务所;三网融合、文化振兴;广播与娱乐
002239;奥特佳;奥特佳新能源科技股份有限公司;Aotecar New Energy Technology Co.,Ltd.;2002-06-13;江苏;金飞达;张永明;邓超、邹志文、郭晔;立信会计师事务所(特殊普通合伙);--;国浩律师集团(上海)事务所;涉矿概念;汽车零配件（IV）
002240;威华股份;广东威华股份有限公司;Guangdong Weihua Corporation;2001-12-29;广东;--;王天广;陈潮、赵如冰、丘运良;广东正中珠江会计师事务所(特殊普通合伙);雷利民;广信律师事务所;锂电池、稀土永磁;建材与构件
002241;歌尔股份;歌尔股份有限公司;Goertek Inc.;2007-07-27;山东;歌尔声学;姜滨;夏善红、肖星、王田苗、朱武祥;瑞华会计师事务所(特殊普通合伙);贾阳;北京市天元律师事务所;含可转债、苹果概念、融资融券、虚拟现实;电子电气组件与设备
002242;九阳股份;九阳股份有限公司;Joyoung Co., Ltd.;2007-09-19;山东;--;王旭宁;金志国、汪建成、张翠兰;天健会计师事务所(特殊普通合伙);缪敏鑫;国浩律师集团(上海)事务所;黄河三角、融资融券;耐用消费品
002243;通产丽星;深圳市通产丽星股份有限公司;Shenzhen Beauty Star Co., Ltd.;2007-04-29;广东;--;陈寿;苏启云、梅月欣、居学成;大华会计师事务所(特殊普通合伙);任红娟;广东深天成律师事务所;--;通用化工品
002244;滨江集团;杭州滨江房产集团股份有限公司;Hangzhou Binjiang Real Estate Group Co., Ltd.;2006-12-06;浙江;--;戚金兴;贾生华、于永生、王曙光;天健会计师事务所(特殊普通合伙);李耿瑾;浙江天册律师事务所;融资融券;不动产投资开发
002245;澳洋顺昌;江苏澳洋顺昌股份有限公司;Jiangsu Aucksun Co., Ltd.;2007-03-30;江苏;--;沈学如;吕强、曹承宝、梁秉文;天健会计师事务所(特殊普通合伙);吴向阳;江苏世纪同仁律师事务所;创投概念、含可转债、金融改革;综合供应商
002246;北化股份;四川北方硝化棉股份有限公司;Sichuan Nitrocell Corporation;2002-08-23;四川;--;黄万福;郭宝华、杨渊德、步丹璐;中瑞岳华会计师事务所(特殊普通合伙);陈艳艳;北京市金杜律师事务所;国防军工、聚氨酯、军工航天、军民融合;通用化工品
002247;帝龙文化;浙江帝龙文化发展股份有限公司;Zhejiang Dilong Culture Development Co.,Ltd.;2007-06-18;浙江;帝龙新材;余海峰;熊晓萍、刘孟涛;天健会计师事务所(特殊普通合伙);胡宇霆;国浩律师集团（杭州）事务所;--;造纸
002248;华东数控;威海华东数控股份有限公司;Weihai Huadong Automation Co., Ltd.;2004-12-28;山东;华东数控、*ST东数、华东数控、*ST东数;连小明;刘庆林、姜爱丽、宋希亮;信永中和会计师事务所(特殊普通合伙);刘璐;北京市万商天勤律师事务所;核电核能、铁路基建、太阳能;工业机械
002249;大洋电机;中山大洋电机股份有限公司;Zhongshan Broad-ocean Motor Co., Ltd.;2006-06-23;广东;--;鲁楚平;袁海林、栾京亮、陈昭、余劲松;信永中和会计师事务所(特殊普通合伙);肖亮满;北京市竞天公诚律师事务所;--;工业机械
002250;联化科技;联化科技股份有限公司;Lianhe Chemical Technology Co., Ltd.;2001-08-29;浙江;--;王萍;周伟澄、王莉、金建海;立信会计师事务所（特殊普通合伙）;任安立;北京市嘉源律师事务所;金融改革、融资融券;特种化工品
002251;步步高;步步高商业连锁股份有限公司;Better Life Commercial Chain Share Co., Ltd.;2004-12-30;湖南;--;王填;任天飞、戴晓凤、周兰;天健会计师事务所(特殊普通合伙);苏辉杰;启元律师事务所;长株潭、融资融券、腾讯概念、新零售;综合供应商
002252;上海莱士;上海莱士血液制品股份有限公司;Shanghai RAAS Blood Products Co., Ltd.;1988-10-29;上海;--;陈杰;谭劲松、周志平、薛镭;大华会计师事务所(特殊普通合伙);张屹;北京市竞天公诚律师事务所;融资融券;生物科技
002253;川大智胜;四川川大智胜软件股份有限公司;Wisesoft Co., Ltd.;2000-11-22;四川;--;游志胜;刘阳、雷维礼、范自力;四川华信(集团)会计师事务所(特殊普通合伙);吴俊杰;广东信达律师事务所;安防服务、国防军工、军工航天、军民融合、智能交通、虚拟现实;软件
002254;泰和新材;烟台泰和新材料股份有限公司;Yantai Tayho Advanced Materials Co., Ltd.;1993-05-20;山东;烟台氨纶;孙茂健;范忠廷、包敦安、邹志勇;信永中和会计师事务所(特殊普通合伙);董旭海;北京市康达律师事务所;国防军工、黄河三角、聚氨酯、军工航天、军民融合、碳纤维;通用化工品
002255;海陆重工;苏州海陆重工股份有限公司;Suzhou Hailu Heavy Industry Co., Ltd.;2007-04-23;江苏;--;徐元生;周中胜、张彩虹、顾建平;立信会计师事务所(特殊普通合伙);陈敏;国浩律师集团(上海)事务所;低碳经济、核电核能;工业机械
002256;彩虹精化;深圳市彩虹精细化工股份有限公司;Shenzhen Sunrise New Energy Co., Ltd.;1995-11-20;广东;彩虹精化;陈永弟;刘书锦、刘善荣、彭玲;瑞华会计师事务所(特殊普通合伙);王云;北京市中伦金通律师事务所;太阳能;特种化工品
002258;利尔化学;利尔化学股份有限公司;Lier Chemical Co., Ltd.;2007-08-01;四川;--;尹英遂;方建新、罗宏、代明华;中瑞岳华会计师事务所(特殊普通合伙);靳永恒;北京市金杜律师事务所;--;特种化工品
002259;升达林业;四川升达林业产业股份有限公司;Sichuan Shengda Forestry Industry Co., Ltd.;2005-12-26;四川;--;江昌政;王良成、黄雅虹、李玉周;四川华信(集团)会计师事务所(特殊普通合伙);易津禾;北京市中伦金通律师事务所;成渝特区、风沙治理;燃气供应
002260;*ST德奥;德奥通用航空股份有限公司;DEA General Aviation Holding Co., Ltd.;2006-08-30;广东;伊立浦、德奥通航;张之珩;阮锋、梁锦棋、曾国军;立信会计师事务所（特殊普通合伙）;杨翔瑞;北京市邦盛律师事务所;--;耐用消费品
002261;拓维信息;拓维信息系统股份有限公司;Talkweb Information System Co., Ltd.;2001-05-31;湖南;--;张忠革;张跃、周仁仪、倪正东、许长龙、成从武;瑞华会计师事务所(特殊普通合伙);--;启元律师事务所;4G概念、5G概念、长株潭、融资融券、三网融合、文化振兴;移动通信服务
002262;恩华药业;江苏恩华药业股份有限公司;Jiangsu Nhwa Pharmaceutical Co., Ltd.;1999-03-29;江苏;--;孙彭生;孔徐生、李玉兰、张雷;立信会计师事务所（特殊普通合伙）;吴继业;北京市国宏律师事务所;仿制药、融资融券;制药
002263;*ST东南;浙江大东南股份有限公司;Zhejiang Great Southeast Co., Ltd.;2000-06-08;浙江;大东南;黄飞刚;童宏怀、陶宝山、汪军民;中汇会计师事务所(特殊普通合伙);寿舒婷;德恒(北京)律师事务所;锂电池;特种化工品
002264;新华都;新华都购物广场股份有限公司;New Huadu Supercenter Co., Ltd.;2007-04-09;福建;--;金志国;许安心、江曙晖;天健会计师事务所(特殊普通合伙);杨秀芬;福建至理律师事务所;海峡西岸、新零售;百货零售
002265;西仪股份;云南西仪工业股份有限公司;Yunnan Xiyi Industry Co., Ltd.;2005-03-28;云南;西仪股份、*ST西仪;谢力;王建新、朱锦余、张宁、于定明;立信会计师事务所（特殊普通合伙）;赵瑞龙;上海市瑛明律师事务所;国防军工、军工航天;汽车零配件（IV）
002266;浙富控股;浙富控股集团股份有限公司;ZHEFU HOLDING GROUP CO.LTD;2007-08-21;浙江;浙富股份;孙毅;李慧中、王宝庆、何大安、谢峰;天健会计师事务所(特殊普通合伙);李彩霞;国浩律师集团（杭州）事务所;核电核能、融资融券;电子电气组件与设备
002267;陕天然气;陕西省天然气股份有限公司;Shaanxi Provincial Natural Gas Company Limited;2005-11-01;陕西;--;李谦益;何雁明、张俊瑞、王智伟、赵选民;上海东华会计师事务所有限公司;张五月;陕西大唐律师事务所;融资融券;燃气供应
002268;卫士通;成都卫士通信息产业股份有限公司;Chengdu Westone Information Industry Inc.;1998-04-23;四川;--;李成刚;曹德骏、沈逸、周玮;中天运会计师事务所(特殊普通合伙);--;北京市金杜律师事务所;电子支付、国防军工、IPV6概念、军工航天、军民融合、融资融券、三网融合、云计算;计算机服务
002269;美邦服饰;上海美特斯邦威服饰股份有限公司;Shanghai Metersbonwe Fashion and Accessories Co., Ltd.;2000-12-06;上海;--;胡佳佳;单喆慜、沈福俊、郑俊豪;安永华明会计师事务所(特殊普通合伙);姚琰;北京市君合律师事务所;融资融券、新零售;服装服饰零售
002270;华明装备;华明电力装备股份有限公司;HUAMING POWER EQUIPMENT CO., LTD.;2002-08-19;山东;法因数控;肖毅;杨迎建、刘大力、冯正权;信永中和会计师事务所(特殊普通合伙);王家栋;北京市中伦金通律师事务所;黄河三角;电子电气组件与设备
002271;东方雨虹;北京东方雨虹防水技术股份有限公司;Beijing Oriental Yuhong Waterproof Technology Co. Ltd.;1998-03-30;北京;--;李卫国;胡小媛、苏金其、羡永彪、瞿培华;致同会计师事务所(特殊普通合伙);--;北京市国枫律师事务所;O2O模式、融资融券、铁路基建、新零售;建材与构件
002272;川润股份;四川川润股份有限公司;Sichuan Crun Co. Ltd.;2007-02-05;四川;--;罗永忠;姚刚、王运陈、殷占武;北京兴华会计师事务所(特殊普通合伙);饶红;北京市国枫律师事务所;--;工业机械
002273;水晶光电;浙江水晶光电科技股份有限公司;Zhejiang Crystal-optech Co. Ltd.;2006-12-21;浙江;--;林敏;程艳霞、鲁瑾、蒋轶;天健会计师事务所(特殊普通合伙);陶曳昕;上海市邦信阳律师事务所;触摸屏、苹果概念、融资融券、太阳能、虚拟现实;电子电气组件与设备
002274;华昌化工;江苏华昌化工股份有限公司;Jiangsu Hua Chang Chemical Co. Ltd.;2004-02-27;江苏;--;朱郁健;郭旭虹、陈和平、尤建新;江苏公证天业会计师事务所(特殊普通合伙);费云辉;国浩律师集团(上海)事务所;燃料电池;特种化工品
002275;桂林三金;桂林三金药业股份有限公司;Guilin Sanjin Pharmaceutical Co., Ltd.;2001-12-28;广西;--;邹节明;陈亮、孙骏、刘焕峰;天健会计师事务所(特殊普通合伙);李云丽;北京市通商律师事务所;融资融券;制药
002276;万马股份;浙江万马股份有限公司;Zhejiang Wanma Co., Ltd.;2007-02-06;浙江;万马电缆;何若虚;邹峻、阎孟昆、杜烈康;信永中和会计师事务所有限责任公司;邵淑青;浙江天册律师事务所;充电桩、国防军工、核电核能、军工航天、融资融券;电子电气组件与设备
002277;友阿股份;湖南友谊阿波罗商业股份有限公司;Hunan Friendship and Apollo Commercial Co., Ltd.;2004-06-07;湖南;家润多;胡子敬;陈共荣、王林、邓中华、王远明;中审华寅五洲会计师事务所(特殊普通合伙);杨娟;北京市君致律师事务所;长株潭、金融改革、融资融券、奢侈品、新零售;百货零售
002278;神开股份;上海神开石油化工装备股份有限公司;Shanghai SK Petroleum and Chemical Equipment Corporation Ltd.;1993-07-15;上海;--;李芳英;金炳荣、成曦、孙大建;大华会计师事务所(特殊普通合伙);王振飞;北京市金杜律师事务所;海工装备、可燃冰、页岩气;工业机械
002279;久其软件;北京久其软件股份有限公司;Beijing Join-cheer Software Co., Ltd.;2001-12-18;北京;--;赵福君;王元京、戴金平、韩凤岐;立信会计师事务所(特殊普通合伙);刘文佳;北京市万商天勤律师事务所;--;软件
002280;联络互动;杭州联络互动信息科技股份有限公司;Hangzhou Liaison Interactive Information Technology Co., Ltd;2007-02-12;浙江;新世纪;何志涛;陆国华、曾晓东、王晓峰;立信会计师事务所;张凯平;上海东方华银律师事务所;虚拟现实;软件
002281;光迅科技;武汉光迅科技股份有限公司;Accelink Technologies Co., Ltd.;2004-10-27;湖北;--;余少华;刘泉、郑美春、肖永平、冉明东;立信会计师事务所（特殊普通合伙）;--;北京市嘉源律师事务所;4G概念、5G概念、宽带提速、融资融券、三网融合、武汉规划;通讯设备
002282;博深工具;博深工具股份有限公司;Bosun Tools Co., Ltd.;2007-06-28;河北;--;陈怀荣;韩志国、王春和、张双才、李志宏;中勤万信会计师事务所(特殊普通合伙);张贤哲;北京市国枫律师事务所;铁路基建、京津冀;工业机械
002283;天润曲轴;天润曲轴股份有限公司;Tianrun Crankshaft Co., Ltd.;2007-11-19;山东;--;邢运波;姜爱丽、孟红、魏安力;天健会计师事务所(特殊普通合伙);冯春;北京市金杜律师事务所;--;汽车零配件（IV）
002284;亚太股份;浙江亚太机电股份有限公司;Zhejiang Asia-Pacific Mechanical and Electronic Company Limited;2000-12-07;浙江;--;黄伟中;俞小莉、钱一民、黄曼行;天健会计师事务所(特殊普通合伙);姚琼媛;北京市君泽君律师事务所;汽车电子;汽车零配件（IV）
002285;世联行;深圳世联行地产顾问股份有限公司;SHENZHEN WORLDUNION PROPERTIES CONSULTANCY INCORPORATED;1993-04-13;广东;世联地产;陈劲松;傅曦林、邱国鹭、陈杰平;信永中和会计师事务所(特殊普通合伙);--;北京市金杜律师事务所;金融改革、融资融券、网贷概念;不动产投资开发
002286;保龄宝;保龄宝生物股份有限公司;Baolingbao Biology Co., Ltd.;1997-10-16;山东;--;邓淑芬;宿玉海、张欣荣、黄永强、杨高宇;山东和信会计师事务所(特殊普通合伙);张锋锋;北京市万商天勤律师事务所;--;食品生产（IV）
002287;奇正藏药;西藏奇正藏药股份有限公司;Tibet Cheezheng Tibetan Medicine Co., Ltd.;2007-10-09;西藏;--;雷菊芳;杜守颖、李春瑜、李文;中勤万信会计师事务所有限公司;李阳;北京市天银律师事务所;融资融券;制药
002288;超华科技;广东超华科技股份有限公司;Guangdong Chaohua Technology Co., Ltd.;2004-09-22;广东;--;梁健锋;赵先德、邵希娟、邵邦利;利安达会计师事务所（特殊普通合伙）;梁芳;北京市金杜律师事务所;安防服务;电子电气组件与设备
002289;宇顺电子;深圳市宇顺电子股份有限公司;Shenzhen Success Electronics Co., Ltd.;2007-04-03;广东;宇顺电子、*ST宇顺;张旸;冯科、刘力、吴玉普;大华会计师事务所(特殊普通合伙);刘芷然;广东信达律师事务所;触摸屏、苹果概念、ST板块、网贷概念;电子电气组件与设备
002290;中科新材;苏州中科创新型材料股份有限公司;Suzhou China Create Special Material Co. Ltd.;2007-06-11;江苏;禾盛新材;范鸣春;郁文娟、张志康、余庆兵;华普天健会计师事务所(特殊普通合伙);陈洁;安徽承义律师事务所;--;耐用消费品
002291;星期六;星期六股份有限公司;Saturday Co.Ltd.;2002-07-25;广东;--;张泽民;李莹、梁彤缨、黄劲业;天健会计师事务所(特殊普通合伙);黄金凤;北京市金杜律师事务所;O2O模式、新零售;鞋类
002292;奥飞娱乐;奥飞娱乐股份有限公司;Alpha Group;2007-06-27;广东;奥飞动漫;陈德荣;丑建忠、杨建平、谭燕;广东正中珠江会计师事务所(特殊普通合伙);高丹;大成律师事务所;IP变现、融资融券、三网融合、文化振兴;玩具
002293;罗莱生活;罗莱生活科技股份有限公司;LUOLAILIFESTYLE TECHNOLOGY CO.,LTD.;2007-07-10;江苏;罗莱家纺;薛伟斌;田志伟、洪伟力、吕巍;华普天健会计师事务所(特殊普通合伙);魏楠楠;国浩律师集团(上海)事务所;融资融券、新零售;服装与服饰
002294;信立泰;深圳信立泰药业股份有限公司;Shenzhen Salubris Pharmaceuticals Co., Ltd.;2007-06-29;广东;--;叶澄海;何素英、王红欣、韩文君;中瑞岳华会计师事务所(特殊普通合伙);朱立锋;北京市中伦律师事务所;仿制药、融资融券;制药
002295;精艺股份;广东精艺金属股份有限公司;Guangdong Jingyi Metal Co., Ltd.;2005-05-19;广东;--;卫国;罗其安、陈珠明、罗维满;中审众环会计师事务所(特殊普通合伙);余敏珊;君信律师事务所;--;有色金属
002296;辉煌科技;河南辉煌科技股份有限公司;Henan Splendor Science and Technology Co., Ltd.;2001-11-15;河南;--;李海鹰;张宇锋、康斌生、郑建彪;大华会计师事务所(特殊普通合伙);郭志敏;国浩律师集团（北京）事务所;军民融合、铁路基建、智能交通;计算机服务
002297;博云新材;湖南博云新材料股份有限公司;Hunan Boyun New Materials Co., Ltd.;2001-07-30;湖南;--;廖寄乔;谢建新、陈才、王咏梅;天职国际会计师事务所(特殊普通合伙);张爱丽;启元律师事务所;长株潭、国防军工、军工航天、石墨烯、碳纤维;航空航天
002298;中电鑫龙;安徽中电兴发与鑫龙科技股份有限公司;Anhui Sinonet and Xinlong Science and Technology Co., Ltd.;1998-05-15;安徽;鑫龙电器;束龙胜;汪和俊、葛愿、韦俊;大华会计师事务所(特殊普通合伙);甘洪亮;北京市天银律师事务所;安防服务、充电桩、铁路基建、皖江区域;计算机服务
002299;圣农发展;福建圣农发展股份有限公司;Fujian Sunner Development Co., Ltd.;2006-10-17;福建;--;傅光明;陈守德、吴宝成、林兢;致同会计师事务所(特殊普通合伙);廖俊杰;福建至理律师事务所;融资融券、食品安全;农业与渔业
002300;太阳电缆;福建南平太阳电缆股份有限公司;Fujian Nanping Sun Cable Co., Ltd.;1994-07-11;福建;--;李云孝;陈明森、许永东、江平开、陈培堃;福建华兴会计师事务所(特殊普通合伙);廖丹;福建至理律师事务所;国防军工、军工航天、军民融合;电子电气组件与设备
