股票代码;公司简称;公司全称;公司英文名称;成立日期;所属地域;曾用名;法定代表人;独立董事;会计师事务所;证券事务代表;咨询服务机构;所属概念;所属行业
000017;深中华A;深圳中华自行车(集团)股份有限公司;Shenzhen China Bicycle Company (Holdings) Co., Ltd.;1992-03-12;广东;深中华、ST中华、*ST中华A、S*ST中华、SST中华A、ST中华A、*ST中华A;李海;宋西顺、杨岚、张志高;国富浩华会计师事务所(特殊普通合伙);崔红霞、钟小津;;含B股;娱乐用品
000018;神州长城;神州长城股份有限公司;Sino Great Wall Co., Ltd.;1992-05-09;广东;深中冠A、G深中冠、深中冠A、ST中冠A、*ST中冠A、ST中冠A、*ST中冠A、中冠A;陈略;唐建新、张宇锋、江崇光;立信会计师事务所(特殊普通合伙);马芹;广东华商律师事务所;含B股;建筑施工
000019;深深宝A;深圳市深宝实业股份有限公司;Shenzhen Shenbao Industrial Co., Ltd.;1992-08-06;广东;深深宝A、G深宝A;郑煜曦;范值清、陈灿松、吴叔平;大华会计师事务所(特殊普通合伙);黄冰夏;广东霆天律师事务所;含B股;软饮料
000020;深华发A;深圳中恒华发股份有限公司;Shenzhen Zhongheng Huafa Co., Ltd.;1992-03-20;广东;深华发A、ST华发A、深华发A、ST华发A、*ST华发A、S*ST华发A、SST华发A、ST华发A;李中秋;徐锦文、李定安、张兆国;大信会计师事务所（特殊普通合伙）;牛玉香;;含B股;电子电气组件与设备
000021;深科技;深圳长城开发科技股份有限公司;Shenzhen Kaifa Technology Co., Ltd.;1993-12-29;广东;深科技A、G深科技、深科技A、长城开发;谭文鋕;邱大梁、庞大同、谢韩珠;信永中和会计师事务所有限责任公司;--;;云计算、智能电网;计算机硬件
000022;深赤湾A;深圳赤湾港航股份有限公司;Shenzhen Chiwan Wharf Holdings Limited.;1993-03-21;广东;深赤湾A、G深赤湾;白景涛;苏启云、袁宇辉、李常青;德勤华永会计师事务所(特殊普通合伙);胡静競、陈丹;北京海问律师事务所;含B股、融资融券;运输服务
000023;深天地A;深圳市天地(集团)股份有限公司;Shenzhen Universe (Group) Co., Ltd.;1984-09-18;广东;深天地A、G深天地;杨国富;程汉涛、沈险峰、梁融;大华会计师事务所(特殊普通合伙);张茹、李佳杏;北京市中银律师事务所;--;建材与构件
000025;特力A;深圳市特力机电股份有限公司;Shenzhen Tellus Holding Co., Ltd.;1993-04-18;广东;深特力A、ST特力A、GST特力A、G特力A;吕航;李祥军、韦少辉、纪辉彬;瑞华会计师事务所(特殊普通合伙);孙博伦;通商律师事务所;含B股;专业零售
000026;飞亚达A;飞亚达(集团)股份有限公司;Fiyta Holdings Ltd.;1993-04-18;广东;飞亚达A、S飞亚达A;黄勇峰;章顺文、王岩、张宏光;瑞华会计师事务所(特殊普通合伙);张勇;;国防军工、含B股、军工航天、奢侈品;服装与服饰
000027;深圳能源;深圳能源集团股份有限公司;Shenzhen Energy Group Co., Ltd.;1993-06-02;广东;深能源A、G深能源、深能源A;熊佩锦;李平、房向东、刘东东;德勤华永会计师事务所(特殊普通合伙);周朝晖;徐志光 王晓东 孔雨泉律师;创投概念、融资融券、新三板;电力（IV）
000028;国药一致;国药集团一致药业股份有限公司;China National Accord Medicines Corporation Ltd.;1993-07-03;广东;深益力A、一致药业、G一致、一致药业;林兆雄;欧永良、陈宏辉、陈胜群;安永华明会计师事务所(特殊普通合伙);王兆宇;通商律师事务所;仿制药、含B股、融资融券;药品零售
000029;深深房A;深圳经济特区房地产(集团)股份有限公司;Shenzhen Special Economic Zone Real Estate and Properties (Group) Co., Ltd.;1993-08-15;广东;深深房A、G深深房;周建国;章顺文、宋博通、刘全民;中瑞岳华会计师事务所(特殊普通合伙);罗毅;信达律师事务所;含B股;不动产投资开发
000030;富奥股份;富奥汽车零部件股份有限公司;FAWER Automotive Parts Limited Company;1993-08-28;吉林;莱英达A、ST英达A、ST盛润A、*ST盛润A、ST盛润A、*ST盛润A、S*ST盛润、SST盛润、ST盛润A、*ST盛润A;甘先国;朱文山、吴博达、李晓;瑞华会计师事务所(特殊普通合伙);王淼;北京国枫凯文(深圳)律师事务所;含B股、汽车电子、融资融券;汽车零配件（IV）
