000048;康达尔;深圳市康达尔(集团)股份有限公司;Shenzhen Kondarl (Group) Co., Ltd.;1994-09-17;广东;康达尔A、中科创业、ST中科、ST康达尔、康达尔A、G康达尔、康达尔A、*ST康达、ST康达尔;罗爱华;曾江虹、栾胜基、陈扬名、胡隐昌;瑞华会计师事务所(特殊普通合伙);张明华;;网贷概念;农业与渔业
000409;山东地矿;山东地矿股份有限公司;Shandong Geo-mineral Co., Ltd.;1993-04-28;安徽;华立高科、四通高科、ST四通、*ST四通、ST四通、GST四通、ST四通、ST泰格、*ST泰格、ST泰格、ST泰复、*ST泰复、ST泰复、泰复实业;张虹;王乐锦、董华、陈志军;山东和信会计事务所(特殊普通合伙);贺业峰;信达律师事务所;--;普通矿开采
000567;海德股份;海南海德实业股份有限公司;Hainan Haide Industry Co., Ltd.;1992-11-02;海南;琼海德A、ST琼海德、海德股份、G海德;戴扬;唐光兴、朱新蓉、王子健;中准会计师事务所有限公司;何燕;;海南自贸;不动产投资开发
000693;*ST华泽;成都华泽钴镍材料股份有限公司;Chengdu Huaze Cobalt and Nickel Material Co., Ltd.;1993-12-31;四川;泰康股份、聚友网络、*ST聚友、S*ST聚友、*ST聚友、华泽钴镍、ST华泽;刘腾;张莹、武坚、张志伟;国富浩华会计师事务所(特殊普通合伙);--;四川成都天作律师事务所;ST板块、稀缺资源;有色金属
000939;凯迪生态;凯迪生态环境科技股份有限公司;Kaidi Ecological and Environmental Technology Co., Ltd.;1999-08-02;湖北;凯迪电力、G凯迪、凯迪电力;李林芝;张兆国、厉培明、徐长生;中审众环会计师事务所(特殊普通合伙);吕晚霞;武汉市正信律师事务所;融资融券、武汉规划;电力（IV）
001965;招商公路;招商局公路网络科技控股股份有限公司;China Merchants Expressway Network and Technology Holdings Co., Ltd.;1993-12-18;北京;--;邓仁杰;张志学、郑健龙、梁斌、张立民;信永中和会计师事务所(特殊普通合伙);--;北京市中伦律师事务所;--;运输服务
002864;盘龙药业;陕西盘龙药业集团股份有限公司;Shaanxi Panlong Pharmaceutical Group Limited By Share Ltd.;1997-09-22;陕西;--;谢晓林;高学敏、余劲松、赵艳玲;立信会计师事务所(特殊普通合伙);--;北京市时代九和律师事务所;--;制药
002912;中新赛克;深圳市中新赛克科技股份有限公司;Shenzhen Sinovatio Technology Co., Ltd.;2003-02-08;广东;--;靳海涛;彭晓光、周立柱、刘勇;天健会计师事务所(特殊普通合伙);--;北京市君合律师事务所;--;软件
002913;奥士康;奥士康科技股份有限公司;Aoshikang Technology Co., Ltd.;2008-05-21;湖南;--;程涌;何为、曾志刚、李桂兰;天职国际会计师事务所(特殊普通合伙);--;北京市金杜律师事务所;小米概念;电子设备
002915;中欣氟材;浙江中欣氟材股份有限公司;Zhejiang Zhongxin Fluoride Materials Co., Ltd.;2007-09-17;浙江;--;陈寅镐;余劲松、张福利、沈玉平;立信会计师事务(特殊普通合伙);黄炜;北京市时代九和律师事务所;--;特种化工品
002916;深南电路;深南电路股份有限公司;Shennan Circuits Co., Ltd.;1984-07-03;广东;--;由镭;查晓斌、李勉、王龙基;瑞华会计师事务所(特殊普通合伙);谢丹;北京市康达律师事务所;--;电子电气组件与设备
002917;金奥博;深圳市金奥博科技股份有限公司;Shenzhen King Explorer Science And Technology Corporation;1994-01-19;广东;--;明景谷;汪旭光、郑馥丽、张清伟;信永中和会计师事务所(特殊普通合伙);--;北京国枫律师事务所;--;特种化工品
002919;名臣健康;名臣健康用品股份有限公司;Mingchen Health Co., Ltd.;1994-12-14;广东;--;陈勤发;王佩清、蔡建生、钟晓明;广东正中珠江会计师事务所(特殊普通合伙);--;北京市君泽君律师事务所;--;通用化工品
002920;德赛西威;惠州市德赛西威汽车电子股份有限公司;Huizhou Desay SV Automotive Co., Ltd.;1986-07-24;;--;TAN CHOON;李春歌、曾学智、梅涛;;--;;--;汽车
002921;联诚精密;山东联诚精密制造股份有限公司;Shandong Liancheng Precision Manufacturing Co., Ltd.;1995-03-25;山东;--;郭元强;王乐锦、胡志斌、张志勇;山东和信会计师事务所(特殊普通合伙);--;北京大成律师事务所;--;建材与构件
002922;伊戈尔;伊戈尔电气股份有限公司;Eaglerise Electric and Electronic (China) Co., Ltd.;1999-10-15;广东;--;肖俊承;李斐、鄢国祥;天健会计师事务所(特殊普通合伙);--;北京市中伦律师事务所;--;电子电气组件与设备
002923;润都股份;珠海润都制药股份有限公司;Zhuhai Rundu Pharmaceutical Co., Ltd.;2011-04-29;广东;--;李希;周兵、李高、杨德明;大华会计师事务所(特殊普通合伙);--;广东广信君达律师事务所;--;制药
002925;盈趣科技;厦门盈趣科技股份有限公司;Xiamen Intretech Inc.;2011-05-24;福建;--;吴凯庭;齐树洁、肖虹、郭东辉;致同会计师事务所(特殊普通合伙);--;福建至理律师事务所;--;电子电气组件与设备
002926;华西证券;华西证券股份有限公司;Huaxi Securities Co., Ltd.;2000-07-13;四川;--;杨炯洋;李平、贝多广、荣健、项振华、蒲虎;四川华信(集团)会计师事务所(特殊普通合伙);尹亮;北京市中伦律师事务所;--;投资服务
002927;泰永长征;贵州泰永长征技术股份有限公司;Guizhou Taiyong-Changzheng Technology Co., Ltd.;2008-11-07;贵州;--;黄正乾;熊楚熊、李炳华、王千华;大华会计师事务所(特殊普通合伙);韩海凤;广东信达律师事务所;--;电子电气组件与设备
002928;华夏航空;华夏航空股份有限公司;China Express Airlines Co., Ltd.;2006-04-18;贵州;--;胡晓军;张工、董小英、岳喜敬;立信会计师事务所(特殊普通合伙);主杰;北京市金杜律师事务所;--;航空客运
002929;润建通信;润建通信股份有限公司;RunJian Communication Co., Ltd.;2003-01-03;广西;--;许文杰;李胜兰、马英华、万海斌;大华会计师事务所(特殊普通合伙);--;北京国枫律师事务所;--;移动通信服务
002930;宏川智慧;广东宏川智慧物流股份有限公司;Guangdong Great River Smarter Logistics Co., Ltd.;2012-11-06;广东;--;林海川;高香林、巢志雄、肖治;大华会计师事务所(特殊普通合伙);--;国浩律师(深圳)事务所;--;运输服务
002931;锋龙股份;浙江锋龙电气股份有限公司;Zhejiang Fenglong Electric Co., Ltd.;2003-06-17;浙江;--;董剑刚;吴晖、彭诚信、俞小莉;天健会计师事务所(特殊普通合伙);--;浙江天册律师事务所;--;工业机械
300031;宝通科技;无锡宝通科技股份有限公司;WUXI BOTON TECHNOLOGY CO.,LTD.;2008-07-08;江苏;宝通带业;包志方;邓雅俐、郝德明、冯凯燕、任小艳;天衡会计师事务所(特殊普通合伙);仰凯锋;上海市瑛明律师事务所;--;特种化工品
300049;福瑞股份;内蒙古福瑞医疗科技股份有限公司;Inner Mongolia Furui Medical Science Co., Ltd.;2001-12-26;内蒙古;--;王冠一;王贵强、焦世斗、邱连强、王桂华;大华会计师事务所(特殊普通合伙);孙秀珍;北京市康达律师事务所;--;制药
300216;千山药机;湖南千山制药机械股份有限公司;Hunan Chinasun Pharmaceutical Machinery Co., Ltd.;2002-10-24;湖南;--;刘祥华;杨春平、石青辉、金益平;瑞华会计师事务所(特殊普通合伙);郑玉环;通力律师事务所;融资融券;工业机械
300454;深信服;深信服科技股份有限公司;Sangfor Technologies Inc.;2000-12-25;广东;--;何朝曦;王肖健、郝丹、江涛;瑞华会计师事务所(特殊普通合伙);--;北京市金杜律师事务所;--;软件
