"start_stock_code"	"start_chi_sht"	"start_com_name"	"start_com_type"	"end_stock_code"	"end_chi_sht"	"end_com_name"	"end_com_type"	"output_funt"	"report_dt"
"000009.SZ"	"中国宝安"	"中国宝安集团股份有限公司"	"深A"	"005930.KS"	""	"三星电子有限公司"	"深A"	"32010.07"	"2014-12-31"
"000009.SZ"	"中国宝安"	"中国宝安集团股份有限公司"	"深A"	""	""	"九州通医药集团有限公司"	"非上市"	"17000.92"	"2014-12-31"
"000009.SZ"	"中国宝安"	"中国宝安集团股份有限公司"	"深A"	""	""	"LG HAUSYS LTD."	"非上市"	"16636.56"	"2014-12-31"
"000009.SZ"	"中国宝安"	"中国宝安集团股份有限公司"	"深A"	"6752.T"	""	"松下"	"沪A"	"11230.52"	"2014-12-31"
"000009.SZ"	"中国宝安"	"中国宝安集团股份有限公司"	"深A"	"3320.HKS"	""	"华润医药集团有限公司"	"深A"	"7854.61"	"2014-12-31"
"000010.SZ"	"美丽生态"	"深圳美丽生态股份有限公司"	"深A"	""	""	"温州市城市建设投资集团有限公司"	"非上市"	"3904.19"	"2017-12-31"
"000010.SZ"	"美丽生态"	"深圳美丽生态股份有限公司"	"深A"	""	""	"六盘水梅花山生态文化旅游发展有限公司"	"非上市"	"4587.82"	"2017-12-31"
"000010.SZ"	"美丽生态"	"深圳美丽生态股份有限公司"	"深A"	"300355.SZ"	"蒙草生态"	"内蒙古和信园蒙草抗旱绿化股份有限公司"	"深A"	"10767.37"	"2017-12-31"
"000011.SZ"	"深物业A"	"深圳市物业发展(集团)股份有限公司"	"深A"	""	""	"重庆市公安局"	"非上市"	"634.65"	"2017-12-31"
"000011.SZ"	"深物业A"	"深圳市物业发展(集团)股份有限公司"	"深A"	""	""	"华为技术有限公司"	"非上市"	"2169.87"	"2017-12-31"
"000011.SZ"	"深物业A"	"深圳市物业发展(集团)股份有限公司"	"深A"	""	""	"阿里巴巴(中国)有限公司"	"非上市"	"4632.9"	"2017-12-31"
"000018.SZ"	"神州长城"	"神州长城股份有限公司"	"深A"	""	""	"中国港湾工程有限责任公司"	"非上市"	"76867.75"	"2016-12-31"
