行业代码	行业名称	分类体系
84	金属新材料	申万三级
85	金属制品	申万三级
86	酒店	申万三级
87	聚氨酯	申万三级
88	空调	申万三级
89	锂	申万三级
90	粮食种植	申万三级
91	粮油加工	申万三级
92	林业	申万三级
93	磷肥	申万三级
94	磷化工及磷酸盐	申万三级
95	楼宇设备	申万三级
96	路桥施工	申万三级
97	轮胎	申万三级
98	旅游综合	申万三级
99	铝	申万三级
100	氯碱	申万三级
101	毛纺	申万三级
102	贸易	申万三级
103	煤炭开采	申万三级
104	棉纺	申万三级
105	民爆用品	申万三级
106	磨具磨料	申万三级
107	耐火材料	申万三级
108	男装	申万三级
109	内燃机	申万三级
110	农药	申万三级
111	农业综合	申万三级
112	农用机械	申万三级
113	女装	申万三级
114	啤酒	申万三级
115	平面媒体	申万三级
116	葡萄酒	申万三级
117	普钢	申万三级
118	其他采掘	申万三级
119	其他采掘服务	申万三级
120	其他电源设备	申万三级
121	其他电子	申万三级
122	其他纺织	申万三级
123	其他服装	申万三级
124	其他互联网服务	申万三级
125	其他化学原料	申万三级
126	其他化学制品	申万三级
127	其他基础建设	申万三级
128	其他家用轻工	申万三级
129	其他建材	申万三级
130	其他交运设备	申万三级
131	其他酒类	申万三级
132	其他农产品加工	申万三级
133	其他轻工制造	申万三级
134	其他视听器材	申万三级
135	其他塑料制品	申万三级
136	其他通用机械	申万三级
137	其他文化传媒	申万三级
138	其他稀有小金属	申万三级
139	其他纤维	申万三级
140	其他橡胶制品	申万三级
141	其他休闲服务	申万三级
142	其他种植业	申万三级
143	其他专业工程	申万三级
144	其他专用机械	申万三级
145	汽车服务	申万三级
146	汽车零部件	申万三级
147	铅锌	申万三级
148	燃机发电	申万三级
149	燃气	申万三级
150	热电	申万三级
151	人工景点	申万三级
152	日用化学产品	申万三级
153	肉制品	申万三级
154	乳品	申万三级
155	软件开发	申万三级
156	软饮料	申万三级
157	商用载货车	申万三级
158	商用载客车	申万三级
159	生物制品	申万三级
160	石油加工	申万三级
161	石油开采	申万三级
162	石油贸易	申万三级
163	食品综合	申万三级
164	水产养殖	申万三级
165	水电	申万三级
166	水利工程	申万三级
167	水泥制造	申万三级
168	水务	申万三级
169	丝绸	申万三级
170	饲料	申万三级
171	炭黑	申万三级
172	特钢	申万三级
173	调味发酵品	申万三级
174	铁路建设	申万三级
175	铁路设备	申万三级
176	铁路运输	申万三级
177	通信传输设备	申万三级
178	通信配套服务	申万三级
179	通信运营	申万三级
180	铜	申万三级
181	涂料油漆油墨制造	申万三级
182	维纶	申万三级
183	文娱用品	申万三级
184	钨	申万三级
185	无机盐	申万三级
186	物流	申万三级
187	稀土	申万三级
188	洗衣机	申万三级
189	显示器件	申万三级
190	线缆部件及其他	申万三级
191	小家电	申万三级
192	鞋帽	申万三级
193	新能源发电	申万三级
194	休闲服装	申万三级
195	冶金矿采化工设备	申万三级
196	一般物业经营	申万三级
197	医疗服务	申万三级
198	医疗器械	申万三级
199	医药商业	申万三级
200	仪器仪表	申万三级
201	移动互联网服务	申万三级
202	银行	申万三级
203	印染	申万三级
204	印刷包装机械	申万三级
205	印制电路板	申万三级
206	营销服务	申万三级
207	影视动漫	申万三级
208	油气钻采服务	申万三级
209	有线电视网络	申万三级
210	园林工程	申万三级
211	园区开发	申万三级
212	造纸	申万三级
213	粘胶	申万三级
214	证券	申万三级
215	制冷空调设备	申万三级
216	中压设备	申万三级
217	中药	申万三级
218	终端设备	申万三级
219	种子生产	申万三级
220	重型机械	申万三级
221	珠宝首饰	申万三级
222	专业连锁	申万三级
223	专业市场	申万三级
224	装修装饰	申万三级
225	自然景点	申万三级
226	综合	申万三级
227	综合电力设备商	申万三级
