"stock_code"	"chi_sht"	"com_name"	"block_name"
"300393.SZ"	"中来股份"	"苏州中来光伏新材股份有限公司"	"3D纹理太阳能电池"
"000009.SZ"	"中国宝安"	"中国宝安集团股份有限公司"	"3D纹理太阳能电池"
"000737.SZ"	"南风化工"	"南风化工集团股份有限公司"	"3D纹理太阳能电池"
"000016.SZ"	"深康佳A"	"康佳集团股份有限公司"	"3G手机"
"600130.SH"	"波导股份"	"宁波波导股份有限公司"	"3G手机"
"600775.SH"	"南京熊猫"	"南京熊猫电子股份有限公司"	"3G手机"
"000100.SZ"	"TCL集团"	"TCL集团股份有限公司"	"3G手机"
"000851.SZ"	"高鸿股份"	"大唐高鸿数据网络技术股份有限公司"	"3G通讯技术"
"600345.SH"	"长江通信"	"武汉长江通信产业集团股份有限公司"	"3G通讯技术"
"600525.SH"	"长园集团"	"长园集团股份有限公司"	"3G通讯技术"
"000823.SZ"	"超声电子"	"广东汕头超声电子股份有限公司"	"3G通讯技术"
"600289.SH"	"*ST信通"	"亿阳信通股份有限公司"	"3G通讯技术"
"002194.SZ"	"*ST凡谷"	"武汉凡谷电子技术股份有限公司"	"3G通讯技术"
"600198.SH"	"*ST大唐"	"大唐电信科技股份有限公司"	"3G通讯技术"
"600747.SH"	"*ST大控"	"大连大显控股股份有限公司"	"3G通讯技术"
"000100.SZ"	"TCL集团"	"TCL集团股份有限公司"	"3G通讯技术"
"000533.SZ"	"万家乐"	"广东万家乐股份有限公司"	"3G通讯技术"
"002115.SZ"	"三维通信"	"三维通信股份有限公司"	"3G通讯技术"
"300050.SZ"	"世纪鼎利"	"珠海世纪鼎利通信科技股份有限公司"	"3G通讯技术"
"002017.SZ"	"东信和平"	"东信和平智能卡股份有限公司"	"3G通讯技术"
"600776.SH"	"东方通信"	"东方通信股份有限公司"	"3G通讯技术"
"000063.SZ"	"中兴通讯"	"中兴通讯股份有限公司"	"3G通讯技术"
"600050.SH"	"中国联通"	"中国联合网络通信股份有限公司"	"3G通讯技术"
"600522.SH"	"中天科技"	"江苏中天科技股份有限公司"	"3G通讯技术"
"002467.SZ"	"二六三"	"二六三网络通信股份有限公司"	"3G通讯技术"
"600487.SH"	"亨通光电"	"江苏亨通光电股份有限公司"	"3G通讯技术"
"600485.SH"	"信威集团"	"北京信威通信科技集团股份有限公司"	"3G通讯技术"
"002281.SZ"	"光迅科技"	"武汉光迅科技股份有限公司"	"3G通讯技术"
"600405.SH"	"动力源"	"北京动力源科技股份有限公司"	"3G通讯技术"
"002148.SZ"	"北纬科技"	"北京北纬通信科技股份有限公司"	"3G通讯技术"
"000988.SZ"	"华工科技"	"华工科技产业股份有限公司"	"3G通讯技术"
"300025.SZ"	"华星创业"	"杭州华星创业通信技术股份有限公司"	"3G通讯技术"
"600410.SH"	"华胜天成"	"北京华胜天成科技股份有限公司"	"3G通讯技术"
"600775.SH"	"南京熊猫"	"南京熊猫电子股份有限公司"	"3G通讯技术"
"002093.SZ"	"国脉科技"	"国脉科技股份有限公司"	"3G通讯技术"
"300134.SZ"	"大富科技"	"深圳市大富科技股份有限公司"	"3G通讯技术"
"300047.SZ"	"天源迪科"	"深圳天源迪科信息技术股份有限公司"	"3G通讯技术"
"002231.SZ"	"奥维通信"	"奥维通信股份有限公司"	"3G通讯技术"
"300310.SZ"	"宜通世纪"	"广东宜通世纪科技股份有限公司"	"3G通讯技术"
