客户名称;股票代码;报告期;金额(万元)
茂名石化实华股份有限公司;000637.SZ;2017-12-31;176,778.51
淄博鲁华泓锦新材料股份有限公司;833831.OC;2017-12-31;127,634.97
湖北能源集团股份有限公司;000883.SZ;2017-12-31;106,895.78
无锡兴达泡塑新材料股份有限公司;834090.OC;2017-12-31;65,097.77
四川美丰化工股份有限公司;000731.SZ;2017-12-31;59,715.72
山东开泰石化股份有限公司;831928.OC;2017-12-31;27,781.21
冠福控股股份有限公司;002102.SZ;2017-12-31;26,454.96
山东胜利股份有限公司;000407.SZ;2017-12-31;23,182.88
山东隆华新材料股份有限公司;839122.OC;2017-12-31;19,079.43
常熟联邦化工股份有限公司;832517.OC;2017-12-31;16,688.82
江苏高科石化股份有限公司;002778.SZ;2017-12-31;16,671.92
浙江新化化工股份有限公司;839128.OC;2017-12-31;12,527.67
山东宝莫生物化工股份有限公司;002476.SZ;2017-12-31;11,283.00
湖北省宏源药业科技股份有限公司;831265.OC;2017-12-31;10,501.61
河南正佳能源环保股份有限公司;836257.OC;2017-12-31;7,162.55
湖南凯美特气体股份有限公司;002549.SZ;2017-12-31;5,628.09
浙江双箭橡胶股份有限公司;002381.SZ;2017-12-31;5,509.94
江苏盛纺纳米材料科技股份有限公司;832997.OC;2017-12-31;5,497.83
四川富临运业集团股份有限公司;002357.SZ;2017-12-31;5,086.41
大禹节水集团股份有限公司;300021.SZ;2017-12-31;4,708.48
宏岳塑胶集团股份有限公司;871306.OC;2017-12-31;4,692.03
南京中超新材料股份有限公司;831313.OC;2017-12-31;4,644.04
内蒙古平庄能源股份有限公司;000780.SZ;2017-12-31;4,402.21
上海永冠众诚新材料科技(集团)股份有限公司;831135.OC;2017-12-31;4,364.01
邢台蓝天精细化工股份有限公司;831625.OC;2017-12-31;3,375.36
浙江争光实业股份有限公司;837767.OC;2017-12-31;3,323.31
武汉吉和昌新材料股份有限公司;832073.OC;2017-12-31;2,837.08
山东同成医药股份有限公司;837062.OC;2017-12-31;2,473.69
江苏建亚环保科技股份有限公司;836032.OC;2017-12-31;2,352.80
倍加洁集团股份有限公司;603059.SH;2017-12-31;2,072.64
