客户名称;股票代码;报告期;金额(万元)
国通实业(上海)股份有限公司;837275.OC;2017-12-31;18,074.14
北京中科金财科技股份有限公司;002657.SZ;2017-12-31;6,533.25
上海普英特高层设备股份有限公司;870426.OC;2017-12-31;4,499.14
北京昆仑联通科技发展股份有限公司;839530.OC;2017-12-31;3,334.39
上海知音音乐文化股份有限公司;831767.OC;2017-12-31;1,823.59
北京圣博润高新技术股份有限公司;430046.OC;2017-12-31;800.00
北京凌天世纪控股股份有限公司;836307.OC;2017-12-31;536.27
苏州华育智能科技股份有限公司;871137.OC;2017-12-31;517.59
北京科能腾达信息技术股份有限公司;430148.OC;2017-12-31;265.69
青岛鼎商动力软件股份有限公司;837858.OC;2017-12-31;165.07
广东通莞科技股份有限公司;833006.OC;2017-12-31;125.76
青岛速普电子商务股份有限公司;836998.OC;2017-12-31;29.45
