供应商名称;股票代码;报告期;金额(万元)
鞍钢股份有限公司;000898.SZ;2016-12-31;5,492.69
浙江兴盛铸造有限公司;-;2016-12-31;3,187.10
浙江五矿汇金进出口有限公司;-;2016-12-31;2,753.54
杭州科瑞特摩擦材料有限公司;-;2016-12-31;2,086.12
浙江科马摩擦材料股份有限公司;831178.OC;2017-12-31;853.10
