供应商名称;股票代码;报告期;金额(万元)
上海博荟化工有限公司;-;2017-12-31;2,680.47
上海明都化工有限公司;-;2017-12-31;1,876.28
宁波镇洋化工发展有限公司;-;2017-12-31;1,627.14
镇江李长荣综合石化工业有限公司;-;2017-12-31;1,295.40
