客户名称;股票代码;报告期;金额(万元)
易程科技股份有限公司;-;2012-12-31;3,004.26
北京真视通科技股份有限公司;002771.SZ;2017-12-31;2,581.69
北京华宇软件股份有限公司;300271.SZ;2017-12-31;2,365.63
中国电子科技集团有限公司;-;2012-12-31;1,933.89
中电科安科技股份有限公司;837840.OC;2017-12-31;1,255.59
北京科海机房装饰工程有限公司;-;2012-12-31;1,227.50
浙江亚视传播有限责任公司;-;2012-12-31;1,076.06
同辉佳视(北京)信息技术股份有限公司;430090.OC;2017-12-31;550.51
北京博能科技股份有限公司;838596.OC;2017-12-31;197.91
宁波红五星传媒股份有限公司;838576.OC;2017-12-31;186.75
苏州朝阳智能科技股份有限公司;836778.OC;2017-12-31;186.38
沈阳康泰电子科技股份有限公司;838221.OC;2017-12-31;119.66
北京万相融通科技股份有限公司;837319.OC;2017-12-31;61.99
