客户名称;股票代码;报告期;金额(万元)
安钢集团新普有限公司;-;2014-06-30;82,242.75
邯郸市智德商贸有限公司;-;2014-06-30;5,543.98
山东钢铁股份有限公司;600022.SH;2014-06-30;1,491.71
