客户名称;股票代码;报告期;金额(万元)
志源塑胶制品(惠州)有限公司;-;2016-12-31;4,223.31
浙江中环赛特光伏科技有限公司;-;2016-12-31;2,670.04
青岛海信电器股份有限公司;600060.SH;2016-12-31;2,651.14
常熟市天银机电股份有限公司;300342.SZ;2016-12-31;2,136.32
深圳创维-RGB电子有限公司;-;2016-12-31;1,521.15
广州创维平面显示科技有限公司;-;2016-12-31;767.07
海信容声(广东)冰箱有限公司;-;2016-12-31;606.85
宁波尚科光伏科技有限公司;-;2016-12-31;545.30
海信容声(扬州)冰箱有限公司;-;2016-12-31;538.64
海信惠而浦(浙江)电器有限公司;-;2016-12-31;455.78
南京创维平面显示科技有限公司;-;2016-12-31;329.94
海信(山东)空调有限公司;-;2016-12-31;261.39
广东海信电子有限公司;-;2016-12-31;226.17
海信(山东)冰箱有限公司;-;2016-12-31;183.26
深圳志源塑胶制品有限公司;-;2016-12-31;120.29
海信(广东)模塑有限公司;-;2016-12-31;78.91
浙江海信电器有限公司;-;2016-12-31;51.11
贵阳海信电子有限公司;-;2016-12-31;36.92
海信(成都)冰箱有限公司;-;2016-12-31;12.44
青岛海信模具有限公司;-;2016-12-31;4.00
