供应商名称;股票代码;报告期;金额(万元)
成都西菱动力科技股份有限公司;300733.SZ;2017-12-31;8,370.31
南京聚隆科技股份有限公司;300644.SZ;2017-12-31;6,240.49
浙江艾彼科技股份有限公司;838288.OC;2017-12-31;4,301.03
浙江元盛塑业股份有限公司;870879.OC;2017-12-31;3,790.42
浙江摩多巴克斯科技股份有限公司;838462.OC;2017-12-31;3,276.85
合肥汇通控股股份有限公司;831204.OC;2017-12-31;3,140.32
天人汽车底盘(芜湖)股份有限公司;870502.OC;2017-12-31;3,081.03
山东泰金精锻股份有限公司;833088.OC;2017-12-31;2,658.62
成都盛帮密封件股份有限公司;831247.OC;2017-12-31;1,913.38
湖北开特汽车电子电器系统股份有限公司;832978.OC;2017-12-31;1,600.86
山东三维钢结构股份有限公司;832621.OC;2017-12-31;1,532.19
北京华图供应链管理股份有限公司;831952.OC;2017-12-31;1,448.67
宁波精华电子科技股份有限公司;833707.OC;2017-12-31;1,319.29
浙江沃得尔科技股份有限公司;835279.OC;2017-12-31;782.29
惠州市唐群座椅科技股份有限公司;838500.OC;2017-12-31;641.72
恩永(北京)科技股份有限公司;870695.OC;2017-12-31;395.16
天津市和泰鑫工程技术股份有限公司;834454.OC;2017-12-31;350.18
北京联洋人才科技股份有限公司;838247.OC;2017-12-31;234.27
青岛力磁电气股份有限公司;838855.OC;2017-12-31;136.60
