供应商名称;股票代码;报告期;金额(万元)
中华人民共和国四川省成都市国土资源局;-;2017-12-31;40,646.52
新疆生产建设兵团第六建筑安装工程公司新疆东方建筑安装工程公司(第二名称);-;2017-12-31;9,178.25
中国华西企业股份有限公司;-;2017-12-31;8,262.76
贵州建工集团有限公司;-;2017-12-31;6,089.46
中建三局集团有限公司;-;2017-12-31;5,166.81
