客户名称;股票代码;报告期;金额(万元)
南昌市欣鼎建筑材料有限公司;-;2016-12-31;3,215.81
阿特斯阳光电力集团有限公司;-;2016-12-31;1,781.90
江西中和盛泰装饰工程有限公司;-;2016-12-31;1,405.81
歌尔股份有限公司;002241.SZ;2016-12-31;1,288.02
湖北优尼科光电技术股份有限公司;831432.OC;2015-12-31;123.69
