供应商名称;股票代码;报告期;金额(万元)
晶科能源有限公司;-;2016-12-31;3,837.04
福建省华银铝业有限公司;-;2016-12-31;2,056.27
上海众业达电器有限公司;-;2016-12-31;967.99
上海亚明照明有限公司;-;2016-12-31;668.16
大联大商贸有限公司;-;2016-12-31;584.63
宁波旭升汽车技术股份有限公司;603305.SH;2016-12-31;544.45
阳光电源(上海)有限公司;-;2016-12-31;515.14
上海广冲电气有限公司;-;2016-12-31;449.05
