客户名称;股票代码;报告期;金额(万元)
北京大海科技有限公司;-;2016-03-31;1,018.31
长春泽普科技发展有限公司;-;2016-03-31;518.96
重庆医药和平医疗器械有限公司;-;2016-03-31;423.48
武汉鑫甲医疗器械有限公司;-;2016-03-31;341.33
