客户名称;股票代码;报告期;金额(万元)
陕西省天然气股份有限公司;002267.SZ;2017-12-31;480,536.20
大庆华科股份有限公司;000985.SZ;2017-12-31;126,256.91
四川泸天化股份有限公司;000912.SZ;2017-12-31;111,293.14
南京公用发展股份有限公司;000421.SZ;2017-12-31;106,899.56
四川升达林业产业股份有限公司;002259.SZ;2017-12-31;84,366.90
无锡兴达泡塑新材料股份有限公司;834090.OC;2017-12-31;80,176.02
北方华锦化学工业股份有限公司;000059.SZ;2017-12-31;58,660.27
沈阳化工股份有限公司;000698.SZ;2017-12-31;46,746.14
华油惠博普科技股份有限公司;002554.SZ;2017-12-31;32,112.38
山东胜利股份有限公司;000407.SZ;2017-12-31;25,857.13
深圳巨正源股份有限公司;831200.OC;2017-12-31;20,803.51
景津环保股份有限公司;832899.OC;2017-12-31;15,908.05
浙江新维狮合纤股份有限公司;837698.OC;2017-12-31;14,456.16
广东柏亚供应链股份有限公司;870848.OC;2017-12-31;13,875.45
四川富临运业集团股份有限公司;002357.SZ;2017-12-31;9,084.28
新疆德信燃气股份有限公司;832749.OC;2017-12-31;6,541.76
宁夏凯添燃气发展股份有限公司;831010.OC;2017-12-31;6,389.34
宏岳塑胶集团股份有限公司;871306.OC;2017-12-31;5,956.38
安徽国风塑业股份有限公司;000859.SZ;2017-12-31;5,914.87
大禹节水集团股份有限公司;300021.SZ;2017-12-31;4,808.52
河北潜能燃气股份有限公司;836116.OC;2017-12-31;4,380.90
山东宝莫生物化工股份有限公司;002476.SZ;2017-12-31;2,669.17
神州能源集团股份有限公司;837934.OC;2017-12-31;2,457.54
湖北兴欣科技股份有限公司;839675.OC;2017-12-31;2,148.45
清远市美佳乐环保新材股份有限公司;871514.OC;2017-12-31;1,644.82
辽宁正昊建设股份有限公司;839998.OC;2017-12-31;649.43
湖北综联桓能源投资管理股份有限公司;833823.OC;2017-12-31;571.63
安徽兴中新材料股份有限公司;872519.OC;2017-12-31;253.31
大连隆源气体科技股份有限公司;836120.OC;2017-12-31;196.29
河南聚塑管道科技股份有限公司;836069.OC;2017-12-31;21.10
