客户名称;股票代码;报告期;金额(万元)
广东凯络广告有限公司;-;2014-09-30;21,199.32
上海李奥贝纳广告有限公司;-;2014-09-30;8,998.68
公牛集团股份有限公司;-;2014-09-30;6,700.80
盛世长城国际广告有限公司;-;2014-09-30;5,776.78
北京恒美广告有限公司;-;2014-09-30;2,876.76
华润雪花啤酒(中国)有限公司;-;2014-09-30;2,672.26
盈昌集团有限公司;-;2014-09-30;2,594.66
广州春瑾杰元生物科技有限公司;-;2014-09-30;2,358.49
德州金锣肉制品有限公司;-;2014-09-30;1,870.73
通辽金锣食品有限责任公司;-;2014-09-30;1,713.04
浙江明旺乳业有限公司;-;2014-09-30;1,631.06
均瑶集团有限公司;-;2014-09-30;1,450.00
山东达因海洋生物制药股份有限公司;-;2014-09-30;1,388.32
浙江绿源电动车有限公司;-;2014-09-30;788.78
新疆春晓广告有限公司;-;2014-09-30;788.49
青蛙王子(中国)日化有限公司;-;2014-09-30;762.57
北京电通广告有限公司;-;2014-09-30;727.54
