供应商名称;股票代码;报告期;金额(万元)
苏州新业电子股份有限公司;837641.OC;2017-12-31;22,714.50
郑州华英包装股份有限公司;839272.OC;2017-12-31;12,481.33
江苏常铝铝业股份有限公司;002160.SZ;2017-12-31;9,614.99
浙江信和科技股份有限公司;835142.OC;2017-12-31;8,820.44
浙江万盾制冷股份有限公司;838389.OC;2017-12-31;3,361.90
珠海美合科技股份有限公司;834412.OC;2017-12-31;1,930.91
广东信力科技股份有限公司;838807.OC;2017-12-31;1,597.17
湖北德普电气股份有限公司;870725.OC;2017-12-31;1,100.00
北京映翰通网络技术股份有限公司;430642.OC;2017-12-31;612.15
天意有福科技股份有限公司;831677.OC;2017-12-31;550.52
山西创美建筑安装工程股份有限公司;838196.OC;2017-12-31;439.36
广东顺力智能物流装备股份有限公司;870056.OC;2017-12-31;282.64
大连泰维精密模具股份有限公司;837252.OC;2017-12-31;259.67
爱芯环保科技(厦门)股份有限公司;832095.OC;2017-12-31;177.27
