供应商名称;股票代码;报告期;金额(万元)
泰州海天电子科技股份有限公司;834814.OC;2017-12-31;3,997.07
南通华隆微电子股份有限公司;833642.OC;2017-12-31;2,480.28
北京凯德石英股份有限公司;835179.OC;2017-12-31;321.89
