供应商名称;股票代码;报告期;金额(万元)
中国航空油料有限责任公司;-;2017-12-31;60,431.94
华南蓝天航空油料有限公司;-;2017-12-31;6,612.98
Bombardier Inc;BBD_B.TO;2017-12-31;4,355.35
重庆机场集团有限公司;-;2017-12-31;3,839.58
贵州省机场集团有限公司;-;2017-12-31;3,126.12
