客户名称;股票代码;报告期;金额(万元)
蓝思科技股份有限公司;300433.SZ;2017-12-31;12,568.47
富士康科技集团有限公司;-;2017-12-31;7,060.27
香港捷普德有限公司;-;2017-12-31;1,547.21
信利光电股份有限公司;-;2017-12-31;825.90
