客户名称;股票代码;报告期;金额(万元)
江西合力泰科技有限公司;-;2016-12-31;14,215.45
星源电子科技(深圳)有限公司;-;2016-12-31;6,931.12
赣州市同兴达电子科技有限公司;-;2016-12-31;5,530.87
天马微电子股份有限公司;000050.SZ;2016-12-31;5,468.50
深圳同兴达科技股份有限公司;002845.SZ;2016-12-31;5,452.67
合肥京东方光电科技有限公司;-;2016-12-31;3,720.67
北京京东方显示技术有限公司;-;2016-12-31;1,565.24
成都京东方光电科技有限公司;-;2016-12-31;944.21
深圳市比亚迪电子部品件有限公司;-;2016-12-31;413.74
天马微电子(香港)有限公司;-;2016-12-31;253.77
武汉天马微电子有限公司;-;2016-12-31;250.08
上海中航光电子有限公司;-;2016-12-31;250.07
京东方(河北)移动显示技术有限公司;-;2016-12-31;163.35
京东方光科技有限公司;-;2016-12-31;160.99
上海天马微电子有限公司;-;2016-12-31;153.44
北京京东方光电科技有限公司;-;2016-12-31;106.42
江西省平波电子有限公司;-;2016-12-31;21.18
重庆京东方光电科技有限公司;-;2016-12-31;5.49
深圳业际光电有限公司;-;2016-12-31;3.68
北京京东方专用显示科技有限公司;-;2016-12-31;0.85
