客户名称;股票代码;报告期;金额(万元)
东营海螺商贸有限公司;-;2015-12-31;620.04
大连幸福家居世界有限公司;-;2015-12-31;316.03
海宁市海创塑胶电器有限公司;-;2015-12-31;90.37
嘉兴禾申贸易有限公司;-;2015-12-31;80.00
