供应商名称;股票代码;报告期;金额(万元)
中石化石油工程技术服务股份有限公司;600871.SH;2017-12-31;137,954.30
中粮生物化学(安徽)股份有限公司;000930.SZ;2017-12-31;47,989.65
北京安控科技股份有限公司;300370.SZ;2017-12-31;19,782.76
西安通源石油科技股份有限公司;300164.SZ;2017-12-31;9,523.67
中曼石油天然气集团股份有限公司;603619.SH;2017-12-31;9,376.98
威海鸿通管材股份有限公司;832234.OC;2017-12-31;8,036.13
新疆准东油田工程技术股份有限公司;839321.OC;2017-12-31;5,523.96
江苏龙蟠科技股份有限公司;603906.SH;2017-12-31;3,184.29
北京中电联环保股份有限公司;834952.OC;2017-12-31;2,937.72
红有软件股份有限公司;870833.OC;2017-12-31;2,746.59
新疆金牛能源物联网科技股份有限公司;836663.OC;2017-12-31;2,594.63
北京恩瑞达科技股份有限公司;834940.OC;2017-12-31;2,456.09
大庆亿鑫化工股份有限公司;836127.OC;2017-12-31;2,231.95
河北海川能源科技股份有限公司;834052.OC;2017-12-31;2,191.12
河南双发石油装备制造股份有限公司;832615.OC;2017-12-31;1,842.36
锦州康泰润滑油添加剂股份有限公司;832238.OC;2017-12-31;1,746.54
北京侏罗纪软件股份有限公司;835891.OC;2017-12-31;1,530.98
凯瑞环保科技股份有限公司;832964.OC;2017-12-31;1,417.01
艾瑞斯股份有限公司;832726.OC;2017-12-31;1,401.90
山东威马泵业股份有限公司;430732.OC;2017-12-31;1,377.73
北京高新利华科技股份有限公司;836139.OC;2017-12-31;1,210.31
郑州万达重工股份有限公司;832936.OC;2017-12-31;1,207.16
西安摩尔石油工程实验室股份有限公司;833334.OC;2017-12-31;1,203.90
凯特智能控制技术股份有限公司;872317.OC;2017-12-31;996.78
南京盛航海运股份有限公司;832659.OC;2017-12-31;968.02
宁波合力机泵股份有限公司;839634.OC;2017-12-31;945.44
山东名流泵业科技股份有限公司;872326.OC;2017-12-31;910.89
广东宏川智慧物流股份有限公司;002930.SZ;2017-12-31;767.38
北京阳光杰科科技股份有限公司;835869.OC;2017-12-31;733.87
汇智工程科技股份有限公司;872546.OC;2017-12-31;717.09
