客户名称;股票代码;报告期;金额(万元)
南京越博动力系统股份有限公司;300742.SZ;2017-12-31;12,296.91
厦门金龙联合汽车工业有限公司;-;2015-09-30;1,968.28
东方电气集团东风电机有限公司;-;2015-09-30;1,488.78
武汉理工通宇新源动力有限公司;-;2015-09-30;1,422.26
湖南中车时代电动汽车股份有限公司;-;2015-09-30;741.53
