供应商名称;股票代码;报告期;金额(万元)
济南腾捷物资有限公司;-;2017-12-31;1,343.02
秦皇岛中兴机械制造有限公司;-;2017-12-31;968.81
秦皇岛鑫鹏金属材料有限公司;-;2017-12-31;802.03
