供应商名称;股票代码;报告期;金额(万元)
云南锡业股份有限公司;000960.SZ;2017-12-31;21,816.04
江苏麟龙新材料股份有限公司;830945.OC;2017-12-31;16,878.76
湖州浙宝钙业科技股份有限公司;872679.OC;2017-12-31;13,373.75
长航凤凰股份有限公司;000520.SZ;2017-12-31;5,954.74
浙江双箭橡胶股份有限公司;002381.SZ;2017-12-31;2,793.92
上海超高环保科技股份有限公司;839470.OC;2017-12-31;1,447.80
三联泵业股份有限公司;430652.OC;2017-12-31;811.28
上海华创自动化工程股份有限公司;835322.OC;2017-12-31;694.04
上海中冶横天智能科技股份有限公司;870609.OC;2017-12-31;620.91
上海安可科技股份有限公司;835793.OC;2017-12-31;559.19
上海未来企业股份有限公司;833697.OC;2017-12-31;513.16
齐齐哈尔华工机床股份有限公司;834461.OC;2017-12-31;320.51
科威天使环保科技集团股份有限公司;834279.OC;2017-12-31;269.77
上海宝信建设咨询股份有限公司;836381.OC;2017-12-31;163.97
南京东来办公产业股份有限公司;831520.OC;2017-12-31;123.81
