客户名称;股票代码;报告期;金额(万元)
滨州北海汇宏新材料有限公司;-;2017-12-31;26,485.09
淄博德信联邦化学工业有限公司;-;2017-12-31;22,894.23
佳化化学股份有限公司;-;2017-12-31;18,836.57
中国石化化工销售有限公司;-;2017-12-31;15,592.84
东营市海科新源化工有限责任公司;-;2017-12-31;15,283.57
浙江大川新材料股份有限公司;834193.OC;2017-12-31;1,104.01
江苏华星新材料科技股份有限公司;836256.OC;2017-12-31;765.70
