客户名称;股票代码;报告期;金额(万元)
泸州博盛恒祥商贸有限公司;-;2014-12-31;81,178.75
泸州柒泉华北酒类销售有限公司;-;2014-12-31;41,228.30
泸州柒泉西南酒类销售有限公司;-;2014-12-31;33,555.66
泸州老窖柒泉聚成酒业销售有限公司;-;2014-12-31;32,765.44
泸州柒泉华中酒类销售有限公司;-;2014-12-31;14,997.73
