000012,"{'曾用名': '深南坡A、南玻科控、南玻A、G南玻', '独立董事': '朱桂龙、詹伟哉、靳庆军', '咨询服务机构': '北京国枫凯文(深圳)律师事务所', '成立日期': '1992-01-28', '公司简称': '南玻A', '证券事务代表': '马丽梅', '会计师事务所': '亚太(集团)会计师事务所(特殊普通合伙)', '公司全称': '中国南玻集团股份有限公司', '股票代码': '000012', '所属行业': '建材与构件', '法定代表人': '陈琳', '公司英文名称': 'CSG Holding Co., Ltd.', '所属地域': '广东', '所属概念': '保障房、触摸屏、多晶硅、低碳经济、含B股、建筑节能、苹果概念、融资融券、太阳能'}"
000014,"{'曾用名': '深华源A、ST深华源、深华源A、沙河股份、G沙河', '独立董事': '熊楚熊、陈治民、王苏生', '咨询服务机构': '广东海埠律师事务所', '成立日期': '1992-04-21', '公司简称': '沙河股份', '证券事务代表': '--', '会计师事务所': '瑞华会计师事务所(特殊普通合伙)', '公司全称': '沙河实业股份有限公司', '股票代码': '000014', '所属行业': '不动产投资开发', '法定代表人': '陈勇', '公司英文名称': 'Shahe Industrial Co., Ltd.', '所属地域': '广东', '所属概念': '--'}"
000016,"{'曾用名': '深康佳A、G康佳A', '独立董事': '肖祖核、张述华、孙盛典', '咨询服务机构': '中伦金通律师事务所', '成立日期': '1980-10-01', '公司简称': '深康佳A', '证券事务代表': '苗雷强', '会计师事务所': '中瑞岳华会计师事务所(特殊普通合伙)', '公司全称': '康佳集团股份有限公司', '股票代码': '000016', '所属行业': '电子电气组件与设备', '法定代表人': '刘凤喜', '公司英文名称': 'Konka Group Co., Ltd.', '所属地域': '广东', '所属概念': '含B股'}"
000017,"{'曾用名': '深中华、ST中华、*ST中华A、S*ST中华、SST中华A、ST中华A、*ST中华A', '独立董事': '宋西顺、杨岚、张志高', '咨询服务机构': '', '成立日期': '1992-03-12', '公司简称': '深中华A', '证券事务代表': '崔红霞、钟小津', '会计师事务所': '国富浩华会计师事务所(特殊普通合伙)', '公司全称': '深圳中华自行车(集团)股份有限公司', '股票代码': '000017', '所属行业': '娱乐用品', '法定代表人': '李海', '公司英文名称': 'Shenzhen China Bicycle Company (Holdings) Co., Ltd.', '所属地域': '广东', '所属概念': '含B股'}"
000018,"{'曾用名': '深中冠A、G深中冠、深中冠A、ST中冠A、*ST中冠A、ST中冠A、*ST中冠A、中冠A', '独立董事': '唐建新、张宇锋、江崇光', '咨询服务机构': '广东华商律师事务所', '成立日期': '1992-05-09', '公司简称': '神州长城', '证券事务代表': '马芹', '会计师事务所': '立信会计师事务所(特殊普通合伙)', '公司全称': '神州长城股份有限公司', '股票代码': '000018', '所属行业': '建筑施工', '法定代表人': '陈略', '公司英文名称': 'Sino Great Wall Co., Ltd.', '所属地域': '广东', '所属概念': '含B股'}"
000019,"{'曾用名': '深深宝A、G深宝A', '独立董事': '范值清、陈灿松、吴叔平', '咨询服务机构': '广东霆天律师事务所', '成立日期': '1992-08-06', '公司简称': '深深宝A', '证券事务代表': '黄冰夏', '会计师事务所': '大华会计师事务所(特殊普通合伙)', '公司全称': '深圳市深宝实业股份有限公司', '股票代码': '000019', '所属行业': '软饮料', '法定代表人': '郑煜曦', '公司英文名称': 'Shenzhen Shenbao Industrial Co., Ltd.', '所属地域': '广东', '所属概念': '含B股'}"
000020,"{'曾用名': '深华发A、ST华发A、深华发A、ST华发A、*ST华发A、S*ST华发A、SST华发A、ST华发A', '独立董事': '徐锦文、李定安、张兆国', '咨询服务机构': '', '成立日期': '1992-03-20', '公司简称': '深华发A', '证券事务代表': '牛玉香', '会计师事务所': '大信会计师事务所（特殊普通合伙）', '公司全称': '深圳中恒华发股份有限公司', '股票代码': '000020', '所属行业': '电子电气组件与设备', '法定代表人': '李中秋', '公司英文名称': 'Shenzhen Zhongheng Huafa Co., Ltd.', '所属地域': '广东', '所属概念': '含B股'}"
000021,"{'曾用名': '深科技A、G深科技、深科技A、长城开发', '独立董事': '邱大梁、庞大同、谢韩珠', '咨询服务机构': '', '成立日期': '1993-12-29', '公司简称': '深科技', '证券事务代表': '--', '会计师事务所': '信永中和会计师事务所有限责任公司', '公司全称': '深圳长城开发科技股份有限公司', '股票代码': '000021', '所属行业': '计算机硬件', '法定代表人': '谭文鋕', '公司英文名称': 'Shenzhen Kaifa Technology Co., Ltd.', '所属地域': '广东', '所属概念': '云计算、智能电网'}"
000022,"{'曾用名': '深赤湾A、G深赤湾', '独立董事': '苏启云、袁宇辉、李常青', '咨询服务机构': '北京海问律师事务所', '成立日期': '1993-03-21', '公司简称': '深赤湾A', '证券事务代表': '胡静競、陈丹', '会计师事务所': '德勤华永会计师事务所(特殊普通合伙)', '公司全称': '深圳赤湾港航股份有限公司', '股票代码': '000022', '所属行业': '运输服务', '法定代表人': '白景涛', '公司英文名称': 'Shenzhen Chiwan Wharf Holdings Limited.', '所属地域': '广东', '所属概念': '含B股、融资融券'}"
000023,"{'曾用名': '深天地A、G深天地', '独立董事': '程汉涛、沈险峰、梁融', '咨询服务机构': '北京市中银律师事务所', '成立日期': '1984-09-18', '公司简称': '深天地A', '证券事务代表': '张茹、李佳杏', '会计师事务所': '大华会计师事务所(特殊普通合伙)', '公司全称': '深圳市天地(集团)股份有限公司', '股票代码': '000023', '所属行业': '建材与构件', '法定代表人': '杨国富', '公司英文名称': 'Shenzhen Universe (Group) Co., Ltd.', '所属地域': '广东', '所属概念': '--'}"
