客户名称;股票代码;报告期;金额(万元)
深圳市宝安区西乡正起电子厂;-;2017-06-30;169.67
宁波能亮光电科技有限公司;-;2017-06-30;163.64
深圳市昱易源科技有限公司;-;2017-06-30;159.21
宁波市乐星感应电器有限公司;-;2017-06-30;124.06
广州市番禺奥莱照明电器有限公司;-;2017-06-30;122.33
宁海县西店栋宁电器配件厂;-;2017-06-30;100.30
东莞市西伦电器实业有限公司;-;2017-06-30;99.97
宁波奥莱新星照明电器有限公司;-;2017-06-30;54.02
广州市奥莱智能照明电器有限公司;-;2017-06-30;5.09
