客户名称;股票代码;报告期;金额(万元)
荆州东方时尚驾驶培训有限公司;-;2015-12-31;1,446.53
四川省路正机动车驾驶员培训有限公司;-;2015-12-31;1,445.30
彭州泰然驾训场地租赁有限公司;-;2015-12-31;1,023.08
南充市川东北驾驶人考试中心;-;2015-12-31;1,022.22
云南一乘驾驶培训股份有限公司;834592.OC;2015-12-31;584.94
