供应商名称;股票代码;报告期;金额(万元)
上海财安金融服务集团股份有限公司;430656.OC;2017-12-31;5,600.63
上海安硕信息技术股份有限公司;300380.SZ;2017-12-31;4,931.11
深圳市银之杰科技股份有限公司;300085.SZ;2017-12-31;4,439.15
海南新生飞翔文化传媒股份有限公司;832297.OC;2017-12-31;2,157.55
上海天玑科技股份有限公司;300245.SZ;2017-12-31;1,785.76
杭州时代银通软件股份有限公司;872516.OC;2017-12-31;1,032.78
沈阳鼎圣科技股份有限公司;839660.OC;2017-12-31;605.20
深圳市荣超物业管理股份有限公司;838844.OC;2017-12-31;523.99
上海易知信息科技股份有限公司;838940.OC;2017-12-31;493.10
北京金信瑞通科技股份有限公司;833801.OC;2017-12-31;261.88
温州温都猫股份有限公司;872439.OC;2017-12-31;235.10
上海誉德动力技术集团股份有限公司;833033.OC;2017-12-31;206.41
深圳盛灿科技股份有限公司;870226.OC;2017-12-31;168.96
北京北森云计算股份有限公司;836393.OC;2017-12-31;139.88
广州卡宝宝互联网金融信息服务股份有限公司;833906.OC;2017-12-31;79.80
深圳橙子互动股份有限公司;870110.OC;2017-12-31;29.56
