供应商名称;股票代码;报告期;金额(万元)
北京金信润天信息技术股份有限公司;430137.OC;2017-12-31;2,730.67
上海安硕信息技术股份有限公司;300380.SZ;2017-12-31;2,224.65
深圳市赢时胜信息技术股份有限公司;300377.SZ;2017-12-31;1,379.99
和美(深圳)信息技术股份有限公司;839576.OC;2017-12-31;806.87
深圳市科脉技术股份有限公司;834873.OC;2017-12-31;427.38
北京众联享付科技股份有限公司;839978.OC;2017-12-31;218.69
广东蓝海豚旅运股份有限公司;871599.OC;2017-12-31;216.98
融汇通网络服务股份有限公司;870920.OC;2017-12-31;198.55
福建兄弟文仪企业服务股份有限公司;871733.OC;2017-12-31;130.88
山西睿信智达传媒科技股份有限公司;837837.OC;2017-12-31;124.60
深圳聚融科技股份有限公司;838594.OC;2017-12-31;84.03
广州卡宝宝互联网金融信息服务股份有限公司;833906.OC;2017-12-31;50.23
北京万国天骐体育股份有限公司;837629.OC;2017-12-31;8.74
